ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
119,MiVLA: Towards Generalizable Vision-Language-Action Model with Human-Robot Mutual Imitation Pre-training,2025,arXiv.org,n/a,n/a,n/a,2512.15411,2025-12-17,source metadata publication date for arXiv 2512.15411,10.48550/arXiv.2512.15411,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/e16f844568466126c2e704510af56870750d68a0; Semantic Scholar: e16f844568466126c2e704510af56870750d68a0; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 demonstrations per task,"MiVLA reports RoboTwin 2.0 Easy and Hard success rates (%). Appendix Table A1, full 50-task benchmark: MiVLA 62.0 Easy and 63.6 Hard; H-RDT 27.4/37.2; pi0.5 33.6/53.8; pi0 19.1/21.7; ACT 5.4/5.4. Main Table 1 separately reports a 20-representative-task subset where MiVLA scores 69 Easy and 66 Hard.",62.0,63.6,33.6,pi0.5,53.8,pi0.5,,,,,"2026-05-11 success-rate audit: cached arXiv text 2512.15411 Section 4.1 describes RoboTwin 2.0 Easy/Hard and 50 demonstrations per task. Main Table 1 reports 20 representative tasks at 69/66, while Appendix Table A1 reports complete 50-task Easy/Hard averages of 62.0/63.6 for MiVLA.",high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_04.json: A public Hugging Face repo Jingkuan/MiVLA exists from a paper author and contains README text matching the MiVLA paper plus a 4.12 GB pytorch_model.bin. However, its config says mode=pretrain and the model card does not identify RoboTwin-2.0, the 69%/66% numbers, or a fine-tuned benchmark checkpoint. The paper also discusses open-sourced baseline weights, not a clearly released MiVLA RoboTwin checkpoint. Large files were not downloaded.",medium,"2026-05-11 success-rate audit: cached arXiv text 2512.15411 Section 4.1 describes RoboTwin 2.0 Easy/Hard and 50 demonstrations per task. Main Table 1 reports 20 representative tasks at 69/66, while Appendix Table A1 reports complete 50-task Easy/Hard averages of 62.0/63.6 for MiVLA.",high,official-ish,"Reports complete 50-task RoboTwin 2.0 Easy and Hard success-rate averages in the appendix, despite also showing a 20-task subset."
120,MM-ACT: Learn from Multimodal Parallel Generation to Act,2025,arXiv.org,n/a,n/a,n/a,2512.00975,2025-11-30,source metadata publication date for arXiv 2512.00975,10.48550/arXiv.2512.00975,OpenAlex term search: RoboTwin2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin2.0,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin2.0,indexed-citation,https://www.semanticscholar.org/paper/bf09330f1934ed7e5ea5c161e652dcd777dd7e48; Semantic Scholar: bf09330f1934ed7e5ea5c161e652dcd777dd7e48; OpenAlex: W4416956384; S2 citation contexts available,reports-results,robotwin2-hard,500 expert episodes per task under the domain-randomized setting,"MM-ACT reports RoboTwin 2.0 task success rates (%) on eight unseen/domain-randomized tasks. Overall success: MM-ACT +Text&Image 52.38, +Image 48.75, +Text 46.5, MM-ACT Vanilla 43.13, pi0 48.13, OpenVLA-OFT 23.13. +Text&Image task scores are Adjust Bottle 71, Beat Hammer Block 78, Click Bell 95, Dump Bin Bigbin 13, Move Playingcard Away 39, Lift Pot 31, Place Burger Fries 73, and Place Can Basket 19.",,52.38,,,,,,,,,2026-05-11 success-rate audit: cached arXiv text 2512.00975 abstract and Table 2 report MM-ACT +Text&Image success rate 52.38% across eight RoboTwin2.0 bimanual/domain-randomized tasks; Table 2 also lists per-task values.,high,number-associated weight available,https://huggingface.co/hhyhrhy/MM-ACT-Model/tree/main/RoboTwin/MM-ACT-text-image-action,"subagent checkpoint audit weights_batch_04.json: MM-ACT paper says code, models, and data are released at the official GitHub. The GitHub README points to MM-ACT-weights and says evaluation covers LIBERO and RoboTwin. The Hugging Face model repository has a RoboTwin folder with four variants; the tracked 52.38% result corresponds to the text+image+action method, and the RoboTwin/MM-ACT-text-image-action folder lists config/tokenizer files and four safetensors shards totaling 16.2 GB. Large files were not downloaded.",high,2026-05-11 success-rate audit: cached arXiv text 2512.00975 abstract and Table 2 report MM-ACT +Text&Image success rate 52.38% across eight RoboTwin2.0 bimanual/domain-randomized tasks; Table 2 also lists per-task values.,high,otherwise,"Reports domain-randomized success on eight unseen RoboTwin 2.0 tasks, so it is a task-subset result rather than a standard Hard aggregate."
121,MobileManiBench: Simplifying Model Verification for Mobile Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.05233,2026-02-05,source metadata publication date for arXiv 2602.05233,10.48550/arXiv.2602.05233,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/65fc69156afd5dd4d134b7a61a58cd5ab7fd4724; Semantic Scholar: 65fc69156afd5dd4d134b7a61a58cd5ab7fd4724,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,cached arXiv HTML text for 2602.05233; snippet: 8 * 527 311 1400K ✓ ✓ ✓ AgiBotWorld-Beta [ 1 ] 3000 * 87 106 1000K ✓ ✓ ✓ ✓ DexGraspVLA [ 57 ] 36 1 † 1 - 2K ✓ ✓ Humanoid Everyday [ 55 ] * * 221 * 10.3K ✓ ✓ ✓ ✓ Mobile-ALOHA [ 14 ] 6 6 6 6 300 ✓ ✓ ✓ DexArt [ 2 ] 82 4 2 1 / / ✓ ✓ RLBench [ 18 ] * * 30 1 / / ✓ ✓ Robosuite [ 58 ] 10 * 10 1 / / ✓ ✓ SIMPLER [ 26 ] 17 2 4 - / / ✓ ✓ ✓ RoboTwin 2.0 [ 10 ] 731 10 11 - 100K ✓ ✓ ✓ VLABench [ 53 ] 2164 10 11 - 5K ✓ ✓ ✓ LIBERO [ 28 ] 75 * * 20 6.5K ✓ ✓ ✓ CALVIN [ 31 ] 30 5 10 4 20K ✓ ✓ ✓ Maniskill2 [ 15 ] 2144 * 12 * 30K ✓ ✓ ✓ RoboCasa [ 32 ] 2509 8 8 120 100K ✓ ✓ ✓ UniDoorManip [ 27 ] 328 6 1 1 / / ✓ ✓ ✓ ✓ OWMM-Agent [ 9 ] 157 1 † 2 143 21K ✓ ✓ ✓...,medium,,
122,MobRT: A Digital Twin-Based Framework for Scalable Learning in Mobile Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.04592,2025-10-06,source metadata publication date for arXiv 2510.04592,10.48550/arXiv.2510.04592,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/be645a4324f5d037ea73be27c3094ee82cb3c080; Semantic Scholar: be645a4324f5d037ea73be27c3094ee82cb3c080; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2510.04592; snippet: ting precise and realistic digital twins of physical objects is a fundamental prerequisite for synthesizing high-fidelity expert data through simulation. To this end, we leverage the PartNet-Mobility [ 27 ] and UniDoorManip [ 17 ] datasets, which encompass hundreds of articulated objects across various categories, alongside the RoboTwin-OD [ 2 ] dataset, a rich set of rigid-body objects generated via Artificial Intelligence Generated Content (AIGC) from simple 2D RGB images. For the objects in our experimental environment, we adopt the same AIGC-based approach as RoboTwin-OD to generate their digital twin assets. To ensure physically...",medium,,
123,MoE-ACT: Scaling Multi-Task Bimanual Manipulation with Sparse Language-Conditioned Mixture-of-Experts Transformers,2026,preprint/unknown,n/a,n/a,n/a,2603.15265,2026-03-16,source metadata publication date for arXiv 2603.15265,10.48550/arXiv.2603.15265,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/6882a0ece1703c2988a0d7e6b7c11ff8d23d26db; Semantic Scholar: 6882a0ece1703c2988a0d7e6b7c11ff8d23d26db; S2 citation contexts available,reports-results,robotwin2,50 episodes per simulation task,"MoE-ACT reports bimanual multi-task RoboTwin 2.0 success rates (%) on six selected tasks. Average success: MoE-ACT 55, RDT 49, BAKU 31, ACT 22, DP 19. MoE-ACT task scores are Bottle 52, H/O 70, Pot 76, Fries 90, Skillet 12, and Cab 28.",,,,,,,,,,,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2603.15265, Section IV-A says a unified policy is jointly trained on six representative bimanual tasks with 300 total episodes, 50 per task, and evaluated over 50 trials per task. Table I reports the RoboTwin 2.0 task and average success rates.",high,not-found,,"subagent checkpoint audit weights_batch_04.json: MoE-ACT paper links an official open-source project page. The project page has an ArXiv link and a Code button labeled coming soon, but no checkpoint/model-weight download and no Hugging Face model matching MoE-ACT. No public result-producing checkpoint for the RoboTwin 2.0 result was found. Large files were not downloaded.",medium,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2603.15265, Section IV-A says a unified policy is jointly trained on six representative bimanual tasks with 300 total episodes, 50 per task, and evaluated over 50 trials per task. Table I reports the RoboTwin 2.0 task and average success rates.",high,otherwise,"Reports an average over six selected RoboTwin 2.0 tasks, not the standard Easy/Clean or Hard/Randomized benchmark aggregate."
124,MotuBrain: An Advanced World Action Model for Robot Control,2026,preprint/unknown,n/a,n/a,n/a,2604.27792,2026-04-30,source metadata publication date for arXiv 2604.27792,10.48550/arXiv.2604.27792,OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/c423ddbd62c50be698ee612d5e3b9b61cf6bace3; Semantic Scholar: c423ddbd62c50be698ee612d5e3b9b61cf6bace3; OpenAlex: W7159585712; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 clean demonstrations per task plus 500 randomized demonstrations per task,MotuBrain reports RoboTwin 2.0 clean and randomized success rates (%). Table 3 average row: MotuBrain 95.8 clean and 96.1 randomized; MotuBrain-Non-AR 91.9/92.3; MotuBrain w/o Pretrain 91.5/91.3; Fast-WAM 91.9/91.8; Being-H0.7 90.2/89.6; LingBot-VA 92.9/91.5; Motus 88.7/87.0; pi0.5 82.7/76.8; pi0 65.9/58.4.,95.8,96.1,,,,,92.9,LingBot-VA,91.8,Fast-WAM,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2604.27792, Section 3.1 states the RoboTwin 2.0 protocol uses 2,500 clean demos, 50 per task, and 25,000 randomized demos, 500 per task. Table 3 reports Robotwin 2.0 clean/randomized averages, and the introduction repeats 95.8 clean and 96.1 randomized.",high,not-found,,"subagent checkpoint audit weights_batch_04.json: MotuBrain paper and official ShengShu page report the RoboTwin 2.0 Clean/Randomized scores and link a technical report, but the official page exposes no model/checkpoint download or repository. Hugging Face search for MotuBrain returned no models. No public result-producing checkpoint was found. Large files were not downloaded.",medium,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2604.27792, Section 3.1 states the RoboTwin 2.0 protocol uses 2,500 clean demos, 50 per task, and 25,000 randomized demos, 500 per task. Table 3 reports Robotwin 2.0 clean/randomized averages, and the introduction repeats 95.8 clean and 96.1 randomized.",high,official-ish,Reports standard RoboTwin 2.0 Clean and Randomized average success rates with the official-style 50-clean plus 500-randomized demo protocol.
125,Motus: A Unified Latent Action World Model,2025,arXiv.org,n/a,n/a,n/a,2512.13030,2025-12-15,source metadata publication date for arXiv 2512.13030,10.48550/arXiv.2512.13030,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/c9f926f18886a1e4107f91125aac209a4565bfa0; Semantic Scholar: c9f926f18886a1e4107f91125aac209a4565bfa0; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 clean demonstrations per task plus 500 randomized demonstrations per task,Motus reports RoboTwin 2.0 simulation success rates (%) on Clean and Randomized settings. Table 2 averages: Motus 88.66 Clean and 87.02 Randomized; Stage1 82.86/81.86; w/o Pretrain 72.8/77.00; X-VLA 72.80/72.84; pi0.5 42.98/43.84.,88.66,87.02,,,,,72.80,X-VLA,72.84,X-VLA,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2512.13030, Section 5.2 Table 2 is titled evaluation on RoboTwin 2.0 Simulation (Clean vs Randomized, 50+ tasks). The surrounding paragraph states all models train on 2,500 clean demos, 50 per task, plus 25,000 randomized demos, 500 per task, and evaluate success rate over 100 execution trials.",high,number-associated weight available,https://huggingface.co/motus-robotics/Motus_robotwin2,"subagent checkpoint audit weights_batch_04.json: Motus official GitHub instructs users to download motus-robotics/Motus_robotwin2. The Hugging Face model card is titled 'Motus: RoboTwin 2.0 Fine-Tuned Checkpoint', says it is fine-tuned on RoboTwin 2.0 (50+ tasks), lists training data/steps, and reports 88.66% clean and 87.02% randomized performance. The file listing contains a 16 GB mp_rank_00_model_states.pt checkpoint. Large files were not downloaded.",high,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2512.13030, Section 5.2 Table 2 is titled evaluation on RoboTwin 2.0 Simulation (Clean vs Randomized, 50+ tasks). The surrounding paragraph states all models train on 2,500 clean demos, 50 per task, plus 25,000 randomized demos, 500 per task, and evaluate success rate over 100 execution trials.",high,official-ish,Reports RoboTwin 2.0 Clean and Randomized averages over the 50-plus-task simulation suite with 50 clean plus 500 randomized demos per task.
126,Move-Then-Operate: Behavioral Phasing for Human-Like Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2604.23620,2026-04-26,source metadata publication date for arXiv 2604.23620,10.48550/arXiv.2604.23620,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/4722313c1cc7fb6a4160af401793649d17e3b0d8; Semantic Scholar: 4722313c1cc7fb6a4160af401793649d17e3b0d8,reports-results,robotwin2-easy,50 clean demonstration trajectories per task,"Move-Then-Operate reports clean-scene RoboTwin 2 task success rates (%) on eight representative tasks, 100 trials per task. Average success: Ours 68.88, pi0 44.75, RDT 35.63, ACT 31.63. Ours task scores are Click Alarmclock 88, Click Bell 99, Move Pillbottle Pad 37, Place Bread Basket 34, Place Cans Plasticbox 79, Place Empty Cup 55, Place Burger Fries 89, and Press Stapler 70.",68.88,,,,,,,,,,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2604.23620, Section 5.1 says the paper evaluates eight RoboTwin2 tasks, each with 50 clean demonstration trajectories, and reports average success over 100 clean-scene trials per task. Table 1 reports success rates on the eight tasks and the averages.",high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_04.json: Move-Then-Operate paper states the method is initialized from a pre-trained pi0-base checkpoint and then fine-tuned with separate LoRA/expert components for the reported RoboTwin2 result. The paper provides no project URL or checkpoint link, and exact Hugging Face searches for Move-Then-Operate returned no models. The public/base checkpoint used for initialization is not the fine-tuned result-producing policy. Large files were not downloaded.",medium,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2604.23620, Section 5.1 says the paper evaluates eight RoboTwin2 tasks, each with 50 clean demonstration trajectories, and reports average success over 100 clean-scene trials per task. Table 1 reports success rates on the eight tasks and the averages.",high,otherwise,"Reports clean-scene success over eight representative RoboTwin2 tasks only, so the average is a selected-task subset rather than a standard Easy/Clean aggregate."
127,MVISTA-4D: View-Consistent 4D World Model with Test-Time Action Inference for Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.09878,2026-02-10,source metadata publication date for arXiv 2602.09878,10.48550/arXiv.2602.09878,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/ca420e9b93d119a1ed219ceaf3ae738f7b1ae9dc; Semantic Scholar: ca420e9b93d119a1ed219ceaf3ae738f7b1ae9dc; S2 citation contexts available,reports-results,robotwin2,not reported,"Appendix E.2 reports per-task success rates on RoboTwin. The proposed method reports task success rates 69, 42, 31, 38, 68, 42, 46, 72, 15, and 7.",,,,,,,,,,,"2026-05-11 subagent result audit: cached full text 2602.09878.txt, Appendix E.2, gives per-task success rates on RoboTwin.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2602.09878.txt, Appendix E.2, gives per-task success rates on RoboTwin.",high,otherwise,"Reports only ten per-task RoboTwin success rates with demos and Easy/Hard protocol unspecified, leaving no comparable standard aggregate."
128,Normalizing Flows are Capable Models for Bi-manual Visuomotor Policy,2025,preprint/unknown,n/a,n/a,n/a,2509.21073,2025-09-25,source metadata publication date for arXiv 2509.21073,10.48550/arXiv.2509.21073,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/f9e2a7f191b0553f84e4b7939e42d8c506d55aca; Semantic Scholar: f9e2a7f191b0553f84e4b7939e42d8c506d55aca; S2 citation contexts available,reports-results,robotwin2-hard,50 clean scripted demonstrations per task,"Normalizing Flows for Robotic Policy reports average RoboTwin 2.0 success rate (%) over the full 50-task suite. NF-P with gradient refinement reaches 38.06 average success, versus Diffusion Policy baseline 28.04, a 10 point improvement. The text highlights task examples including Open Microwave 77 vs 5 and Handover Mic 100 vs 53, and Table II reports Beat Block Hammer ablations where default NF-P_GR has success 51.",,38.06,,,28.04,DP,,,,,2026-05-11 success-rate audit: cached arXiv text 2509.21073 Section V/Figure 4 states all metrics are averaged over 100 randomized trials across the 50-task RoboTwin 2.0 suite and reports NF-P_GR average success 38.06% versus DP 28.04%.,high,not-found,,"subagent checkpoint audit weights_batch_04.json: Normalizing Flows are Capable Models for Bi-manual Visuomotor Policy paper text contains no official project, GitHub, Hugging Face, ModelScope, release, or checkpoint URL. Exact Hugging Face search for the title/normalizing-flow bimanual terms returned no matching model. No public result-producing checkpoint was found. Large files were not downloaded.",medium,2026-05-11 success-rate audit: cached arXiv text 2509.21073 Section V/Figure 4 states all metrics are averaged over 100 randomized trials across the 50-task RoboTwin 2.0 suite and reports NF-P_GR average success 38.06% versus DP 28.04%.,high,official-ish,"Reports average success over the full 50-task RoboTwin 2.0 randomized suite, matching the standard Hard/Randomized evaluation style."
129,NoTVLA: Narrowing of Dense Action Trajectories for Generalizable Robot Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.03895,2025-10-04,source metadata publication date for arXiv 2510.03895,10.48550/arXiv.2510.03895,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/cb50dd5359bc4c5ad98898506497366de6d66023; Semantic Scholar: cb50dd5359bc4c5ad98898506497366de6d66023; S2 citation contexts available,reports-results,robotwin2,not reported,"The paper includes RoboTwin 2.0 full task results with per-task success rates for ACT, DP, DP3, pi0, RDT, and NoTVLA. Aggregate Easy/Hard cells are left blank pending extraction of the full-task averages.",,,50.38,Qwen-OFT,16.34,pi0,,,,,2026-05-11 subagent result audit: cached full text 2510.03895.txt contains RoboTwin 2.0 Full Results.,high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2510.03895.txt contains RoboTwin 2.0 Full Results.,high,official-ish,Reports RoboTwin 2.0 full-task per-task results for standard methods/tasks; aggregate extraction is missing but the table is full benchmark results rather than a custom subset.
130,One-Step Flow Policy: Self-Distillation for Fast Visuomotor Policies,2026,preprint/unknown,n/a,n/a,n/a,2603.12480,2026-03-12,source metadata publication date for arXiv 2603.12480,10.48550/arXiv.2603.12480,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Easy; OpenAlex term search: RoboTwin 2.0 Hard; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Hard; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/e06cb6037c6f33a604e05e5c8fe3ea1743da88bc; Semantic Scholar: e06cb6037c6f33a604e05e5c8fe3ea1743da88bc; OpenAlex: W7138824337; S2 citation contexts available,reports-results,robotwin2-hard,not reported,"One-Step Flow Policy reports RoboTwin 2.0 transfer results after integrating OFP into pi0.5. Figure 5/text report OFP reaching 94.7% average success across four domain-randomized RoboTwin 2.0 tasks at NFE=1, surpassing the original pi0.5 policy at NFE=10. Appendix Table 5 per-task success rates (%): pi0.5 96.0, 88.3, 90.7, 91.0; CFM 85.3, 82.0, 74.3, 74.7; Shortcut 89.3, 78.0, 75.0, 81.3; iMF 92.7, 84.3, 82.7, 87.0; OFP 99.0, 91.7, 94.3, 93.7 on Adjust Bottle, Beat Block Hammer, Handover Mic, and Place Empty Cup.",,94.7,,,,,,,,,2026-05-11 success-rate audit: cached arXiv text 2603.12480 Section 4.3/Figure 5 reports OFP at NFE=1 reaches 94.7% average success across four domain-randomized RoboTwin 2.0 tasks; Appendix Table 5 lists the per-task rates over 100 randomized test trials.,high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_04.json: One-Step Flow Policy reports integration with pi0.5 on RoboTwin 2.0 and states the model is fine-tuned for 3000 steps from the base pi0.5 checkpoint. The paper provides no project or checkpoint URL for the pi0.5+OFP fine-tuned model, and exact Hugging Face searches for OFP/One-Step Flow Policy returned no matching result-producing checkpoint. Large files were not downloaded.",medium,2026-05-11 success-rate audit: cached arXiv text 2603.12480 Section 4.3/Figure 5 reports OFP at NFE=1 reaches 94.7% average success across four domain-randomized RoboTwin 2.0 tasks; Appendix Table 5 lists the per-task rates over 100 randomized test trials.,high,otherwise,"Reports 94.7% only across four domain-randomized RoboTwin 2.0 transfer tasks, not the standard full Hard/Randomized benchmark aggregate."
131,PEAfowl: Perception-Enhanced Multi-View Vision-Language-Action for Bimanual Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.17885,2026-01-25,source metadata publication date for arXiv 2601.17885,10.48550/arXiv.2601.17885,OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Randomized; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/445a9d0739fa8c0971b0dee0e676ca8705e362e8; Semantic Scholar: 445a9d0739fa8c0971b0dee0e676ca8705e362e8; OpenAlex: W7125877976; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 demonstrations per task,"PEAfowl reports RoboTwin 2.0 success rates (%) on nine tasks under Clean and domain-randomized (DR) settings. Overall averages: PEAfowl 69.6 Clean and 47.1 DR; SEM 51.0/24.1; DP3 40.0/14.1; ACT 34.2/7.8; DP 26.1/11.3; pi0 22.0/22.1; RDT 10.6/6.7. PEAfowl group averages are Clean long 66.4, mid 59.0, short 88.0 and DR long 39.0, mid 47.0, short 67.5.",69.6,47.1,,,,,,,,,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2601.17885, Section 4.1 says the simulation uses nine RoboTwin 2.0 tasks with 50 demonstrations per task and 100 trials per task per setting; Clean uses fixed visual/physical parameters and templates, while DR changes distractors, lighting, textures, table height, and instruction paraphrases. Table 1 reports Clean and DR success-rate averages.",high,coming-soon-no-download-link,,"subagent checkpoint audit weights_batch_04.json: PEAfowl official GitHub says the repository is preparing code and data for release and lists an unchecked roadmap item to release pre-trained models, plus evaluation scripts for RoboTwin2.0. The current repo contains README/assets only and no model/checkpoint files; Hugging Face search for PEAfowl returned no models. Large files were not downloaded.",high,"subagent result audit usage_numbers_batch_04.json: Cached arXiv text 2601.17885, Section 4.1 says the simulation uses nine RoboTwin 2.0 tasks with 50 demonstrations per task and 100 trials per task per setting; Clean uses fixed visual/physical parameters and templates, while DR changes distractors, lighting, textures, table height, and instruction paraphrases. Table 1 reports Clean and DR success-rate averages.",high,otherwise,"Reports Clean/DR averages over nine RoboTwin 2.0 tasks, a selected subset rather than the standard Easy/Clean or Hard/Randomized evaluation."
132,PhysForge: Generating Physics-Grounded 3D Assets for Interactive Virtual World,2026,preprint/unknown,n/a,n/a,n/a,2605.05163,2026-05-06,source metadata publication date for arXiv 2605.05163,10.48550/arXiv.2605.05163,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/e3a10689ead179bbba256a35d0d249f7e0d69bba; Semantic Scholar: e3a10689ead179bbba256a35d0d249f7e0d69bba; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2605.05163; snippet: discovery . arXiv preprint arXiv:2507.13346 . Cited by: §2.2 . R. Chen, Y. Chen, N. Jiao, and K. Jia (2023) Fantasia3d: disentangling geometry and appearance for high-quality text-to-3d content creation . In ICCV , Cited by: §2.1 . T. Chen, Z. Chen, B. Chen, Z. Cai, Y. Liu, Z. Li, Q. Liang, X. Lin, Y. Ge, Z. Gu, et al. (2025c) Robotwin 2.0: a scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation . arXiv preprint arXiv:2506.18088 . Cited by: Figure 6 , Figure 6 , §4.3 . Y. Chen, T. Wang, T. Wu, X. Pan, K. Jia, and Z. Liu (2024b) Comboverse: compositional 3d assets creation using...",medium,,
