ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
65,Persistent Robot World Models: Stabilizing Multi-Step Rollouts via Reinforcement Learning,2026,preprint/unknown,n/a,n/a,n/a,2603.25685,2026-03-26,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/59a07872e39db6443109a585ab8bdd158d18438d; https://arxiv.org/abs/2603.25685,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
66,PRM-as-a-Judge: A Dense Evaluation Paradigm for Fine-Grained Robotic Auditing,2026,preprint/unknown,n/a,n/a,n/a,2603.21669,2026-03-23,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/33f7bee508f86ae43b17fcc7376c5be3ef8a02f1; https://arxiv.org/abs/2603.21669,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
67,QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models,2026,arXiv.org,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2026),Official CVPR 2026 virtual program lists 'QuantVLA: Scale-Calibrated Post-Training Quantization for Vision-Language-Action Models' as poster 39915; the poster page schema marks creditText 'CVPR 2026' and lists the matching title/authors. arXiv v4 also has comment 'CVPR2026'.,high,2602.20309,2026-02-23,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.20309,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/66c771c87ea9dc4ba0d9c338816d5b0b27adedef; https://arxiv.org/abs/2602.20309; DOI 10.48550/arXiv.2602.20309,reports-results,simplerenv-result-unattributed,not reported,Reports SimplerEnv PickCan counts; no clean standard suite average.,,,,,,,,,,Subagent verified CVPR 2026 venue and PickCan-count result; no suite average.,high,weight-but-not-for-number,,"The tracked SimpleEnv/SimplerEnv number is the extended Pick-and-Can result for QuantVLA W4A8 on GR00T (27/50), not the FP16 baseline. The official project and GitHub release code, calibration/config JSONs, and scripts for runtime quantized inference, but no downloadable quantized GR00T checkpoint or model release was found; GitHub releases are empty and Hugging Face searches for QuantVLA/AIoT-MLSys-Lab models returned no model listings. Public GR00T base weights are related, but they produced the FP16 baseline, not the tracked quantized PickCan number.",high,Subagent verified CVPR 2026 venue and PickCan-count result; no suite average.,high,otherwise,"It reports extended PickCan counts rather than a standard Google Robot VM, VA, or WidowX / Bridge suite success rate."
68,ReconPhys: Reconstruct Appearance and Physical Attributes from Single Video,2026,preprint/unknown,n/a,n/a,n/a,2604.07882,2026-04-09,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/bc7392954aeadec91a33f5420ff921bb64d41b58; https://arxiv.org/abs/2604.07882,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
69,Reconstruction or Semantics? What Makes a Latent Space Useful for Robotic World Models,2026,preprint/unknown,n/a,n/a,n/a,2605.06388,2026-05-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/e075577f6009b707439792696fd4f6a7ddc39145; https://arxiv.org/abs/2605.06388,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
70,Red-Teaming Vision-Language-Action Models via Quality Diversity Prompt Generation for Robust Robot Policies,2026,preprint/unknown,n/a,n/a,n/a,2603.12510,2026-03-12,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/01b61acb357d42ae83dadcabfbcae6d2e30dc2c7; https://arxiv.org/abs/2603.12510; https://openalex.org/W7138824680,reports-results,simplerenv-result-unattributed,50 demonstrations per task,Reports SimplerEnv results with 50 demonstrations per task; no clean suite average.,,,,,,,,,,Independent subagent full-text/result audit verified: Reports SimplerEnv results with 50 demonstrations per task; no clean suite average.,high,weight-but-not-for-number,,"The tracked SimplerEnv result is for OpenVLA-OFT policies fine-tuned on SimplerEnv demonstrations and Q-DIG/Rephrase/ERT adversarial instruction datasets with 50 demonstrations per task. The paper/project make prompts and result tables public, and generic OpenVLA/OpenVLA-OFT code/base weights are public, but I found no public checkpoint for the fine-tuned SimplerEnv policies that produced the tracked Q-DIG/OpenVLA-OFT numbers.",high,Independent subagent full-text/result audit verified: Reports SimplerEnv results with 50 demonstrations per task; no clean suite average.,high,otherwise,It reports a custom 50-demonstration red-teaming/adversarial-prompt SimplerEnv setting with no clean standard suite average.
71,RedVLA: Physical Red Teaming for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2604.22591,2026-04-24,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/4391999707639a64bf33a192b67063fc03c4bb97; https://arxiv.org/abs/2604.22591,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
72,Reshaping Action Error Distributions for Reliable Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.04228,2026-02-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.04228,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/17813106beb04c3125b29b2645512a3a271d59e4; https://arxiv.org/abs/2602.04228; DOI 10.48550/arXiv.2602.04228; https://openalex.org/W7127929787; https://openalex.org/W7128096016,reports-results,widowx-bridge,not reported,WidowX / Bridge=61.5,,,61.5,,,,,53.1,GR00T / pi0 (4B baseline tie),Independent subagent full-text/result audit verified: WidowX / Bridge=61.5,high,weight-but-not-for-number,,"The tracked number is the SimplerEnv-WidowX 4B pi0 + T-MEE average of 61.5. The official VLA-TMEE repository publishes code and Hugging Face checkpoints for LIBERO near-balanced results, and the author model listing contains only MEE-VLA-LIBERO checkpoints. I found no SimplerEnv/WidowX pi0 + T-MEE 4B checkpoint tied to the 61.5 result.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=61.5,high,official-ish,"It reports WidowX / Bridge success rate 61.5, which is directly comparable to the standard SimplerEnv WidowX protocol."
73,RMBench: Memory-Dependent Robotic Manipulation Benchmark with Insights into Policy Design,2026,arXiv.org,n/a,n/a,n/a,2603.01229,2026-03-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2603.01229,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/5392d9e631c952661129be0cf79066954241bc0d; https://arxiv.org/abs/2603.01229; DOI 10.48550/arXiv.2603.01229,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
74,RoboCasa365: A Large-Scale Simulation Framework for Training and Benchmarking Generalist Robots,2026,preprint/unknown,n/a,n/a,n/a,2603.04356,2026-03-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/3462a6063dbf86ffd82c567b21879fb7080363ab; https://arxiv.org/abs/2603.04356,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
75,RoboECC: Multi-Factor-Aware Edge-Cloud Collaborative Deployment for VLA Models,2026,preprint/unknown,International Joint Conference on Neural Networks (IJCNN 2026),Subagent verified IJCNN 2026 venue metadata.,high,2603.20711,2026-03-21,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ba796156b5b44250cfa55867b6b44d88564f71f9; https://arxiv.org/abs/2603.20711; https://openalex.org/W7140346489,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
76,RoboLab: A High-Fidelity Simulation Benchmark for Analysis of Task Generalist Policies,2026,preprint/unknown,n/a,n/a,n/a,2604.09860,2026-04-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/4a0e21475dfe488e745aac8776bd1b9e2c1c99af; https://arxiv.org/abs/2604.09860,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
77,RoboPlayground: Democratizing Robotic Evaluation through Structured Physical Domains,2026,preprint/unknown,n/a,n/a,n/a,2604.05226,2026-04-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/09d727edaf798bf654761c618fdc39d4c28ab965; https://arxiv.org/abs/2604.05226,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
78,RoboStream: Weaving Spatio-Temporal Reasoning with Memory in Vision-Language Models for Robotics,2026,preprint/unknown,n/a,n/a,n/a,2603.12939,2026-03-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9d9bfd19474f9b063ce5d1d7b21357ba8e87225f; https://arxiv.org/abs/2603.12939,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,"WidowX / Bridge=74.8; Google Robot VM task rates: Pick Coke Can=95.7, Move Near=95.8; Google Robot VA task rates: Pick Coke Can=94.2, Move Near=79.8. No clean Google VM/VA suite average is reported.",,,74.8,,,,,58.3,SoFar,"arXiv:2603.12939 Table 1 reports RoboStream-8B WidowX Avg 74.8 and Google Robot per-task Visual Matching / Variant Aggregation success rates, but no Google suite-average column.",high,number-associated weight available,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,"The tracked WidowX/Bridge result is RoboStream-8B, Zero data, Avg 74.8. The paper says RoboStream-8B instantiates the method with Qwen3-VL-8B and that all variants run without environment-specific adaptation or fine-tuning, so the public Qwen3-VL-8B-Instruct checkpoint is the exact base weight used for the reported number. The RoboStream code is still coming soon, but no additional fine-tuned policy weight is required by the reported setup.",high,arXiv:2603.12939 Table 1 evaluates RoboStream-8B on SIMPLER Google Robot VM/VA task rates and WidowX / Bridge average success.,high,official-ish,It reports a WidowX / Bridge average success rate of 74.8 under the standard SimplerEnv protocol.
79,Robotic Scene Cloning:Advancing Zero-Shot Robotic Scene Adaptation in Manipulation via Visual Prompt Editing,2026,preprint/unknown,n/a,n/a,n/a,2603.09712,2026-03-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9212253cf9a7273df1b52a96f5b7354bd4c1399d; https://arxiv.org/abs/2603.09712,reports-results,simplerenv-result-unattributed,67 successful Coke-can grasping trajectories as source data; not per evaluated novel task,Reports custom/source-data SimplerEnv Coke-can grasping results; no clean suite average.,,,,,,,,,,Independent subagent full-text/result audit verified: Reports custom/source-data SimplerEnv Coke-can grasping results; no clean suite average.,high,weight-but-not-for-number,,"The tracked SimplerEnv result is CogACT + RSC after fine-tuning CogACT on RSC-augmented trajectories derived from 67 successful Coke-can grasping trajectories, yielding custom novel-object results rather than a standard suite average. CogACT base weights are public, but I found no official RSC project/repo/HF listing and no fine-tuned CogACT+RSC policy checkpoint for the reported SimplerEnv numbers.",high,Independent subagent full-text/result audit verified: Reports custom/source-data SimplerEnv Coke-can grasping results; no clean suite average.,high,otherwise,It reports custom source-data Coke-can grasping results rather than a clean standard SimplerEnv suite evaluation.
80,RoboVIP: Multi-View Video Generation with Visual Identity Prompting Augments Robot Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.05241,2026-01-08,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.05241,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c2b26ce39da5f0ce356ce8309960e12fcf0b05d1; https://arxiv.org/abs/2601.05241; DOI 10.48550/arXiv.2601.05241,reports-results,widowx-bridge,not reported,WidowX / Bridge=29.0,,,29.0,,,,,18.5,pi0 + RoboEngine,Independent subagent full-text/result audit verified: WidowX / Bridge=29.0,high,weight-but-not-for-number,,"The tracked WidowX/Bridge number is the downstream pi0/Octo SimplerEnv policy trained with RoboVIP-augmented Bridge data, with the 29.0 value corresponding to a fine-tuned policy result. The official repo and Hugging Face releases provide RoboVIP video-diffusion LoRA weights and data/identity pools, but I found no released downstream pi0 or Octo policy checkpoint that produced the tracked SimplerEnv success rate.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=29.0,high,official-ish,"It reports WidowX / Bridge success rate 29.0, a standard SimplerEnv benchmark evaluation."
81,SAGE: Scalable Agentic 3D Scene Generation for Embodied AI,2026,arXiv.org,n/a,n/a,n/a,2602.10116,2026-02-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.10116,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/19fe0361d5000ab2c24461a2845b7ff6e918c809; https://arxiv.org/abs/2602.10116; DOI 10.48550/arXiv.2602.10116,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
82,SCALE: Self-uncertainty Conditioned Adaptive Looking and Execution for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.04208,2026-02-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.04208,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/6411dfe92e500c10bd10dbb94d2ecd5340449710; https://arxiv.org/abs/2602.04208; DOI 10.48550/arXiv.2602.04208,reports-results,widowx-bridge,not reported,WidowX / Bridge=49.0,,,49.0,,,,,41.7,pi0-FAST + Top-k / SpatialVLA fine-tuned (tie),Independent subagent full-text/result audit verified: WidowX / Bridge=49.0,high,weight-but-not-for-number,,"The tracked SimplerEnv-WidowX number is pi0-FAST + SCALE Avg 49.0. SCALE itself is training-free at inference, but the paper says the pi0-FAST backbone used for SimplerEnv was fine-tuned on BridgeData V2 for 10k steps. Public pi0-FAST base checkpoints exist in openpi, while the SCALE GitHub currently contains only a README saying code is coming soon and no BridgeData-V2-fine-tuned pi0-FAST checkpoint for the reported 49.0 result.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=49.0,high,official-ish,"It reports WidowX / Bridge success rate 49.0, which is comparable to the standard SimplerEnv WidowX protocol."
83,Scaling Sim-to-Real Reinforcement Learning for Robot VLAs with Generative 3D Worlds,2026,preprint/unknown,n/a,n/a,n/a,2603.18532,2026-03-19,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/5f78715ee85b5e5e375ddee5ed31a50e7e9f032f; https://arxiv.org/abs/2603.18532,reports-results,simplerenv-result-unattributed,not reported,Reports custom SimplerEnv scenes; no clean standard suite average.,,,,,,,,,,Subagent verified custom SimplerEnv scene results and left suite cells blank.,high,weight-but-not-for-number,,"The tracked SimplerEnv/custom result is for an N=100 RL-fine-tuned policy pi_theta initialized from a pretrained imitation policy pi_pre, with simulation success rising from 9.7 to 79.8 and custom SimplerEnv/EmbodiedGen scene evaluations. The paper notes it used a third-party open-pi-zero BridgeV2 pretrained checkpoint as pi_pre, and that related base checkpoints are public, but I found no public checkpoint for the RL-fine-tuned N=100 policy that produced the reported custom SimplerEnv/generative-world results.",high,Subagent verified custom SimplerEnv scene results and left suite cells blank.,high,otherwise,"Reports custom SimplerEnv/EmbodiedGen scene results rather than a standard VM, VA, or WidowX / Bridge suite evaluation."
84,Scaling Verification Can Be More Effective than Scaling Policy Learning for Vision-Language-Action Alignment,2026,arXiv.org,n/a,n/a,n/a,2602.12281,2026-02-12,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.12281,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/80719305ec87dc97dc5a4036225e98ef01765ac9; https://arxiv.org/abs/2602.12281; DOI 10.48550/arXiv.2602.12281; https://openalex.org/W7128865105,reports-results,simplerenv-result-unattributed,not reported,Reports red-team ID/OOD WidowX metrics; no clean standard suite average.,,,,,,,,,,Subagent verified red-team SimplerEnv result metrics.,high,number-associated weight available,https://huggingface.co/cover-vla/cover-vla-bridge,"Tracked row is the red-team SIMPLER/SimplerEnv WidowX ID/OOD result set, not a clean suite average. The paper reports the SIMPLER red-team table for pi0 + CoVer and pi0 (rephrase) + CoVer, including ID averages 57.0 and 65.5 and OOD averages 61.0 and 62.0. The official repository repeats those SIMPLER results and gives the exact command to download cover_verifier_bridge.pt from cover-vla/cover-vla-bridge, then run SIMPLER evaluation with the public juexzz/INTACT-pi0-finetune-bridge base policy. Hugging Face metadata lists cover_verifier_bridge.pt in the public model repo, so a public reported-number verifier artifact is available; large files were not downloaded.",high,Subagent verified red-team SimplerEnv result metrics.,high,otherwise,"Reports red-team ID/OOD WidowX metrics, not a clean standard SimplerEnv WidowX / Bridge success-rate suite result."
85,Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis,2026,preprint/unknown,n/a,n/a,n/a,2603.06507,2026-03-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/e3d9c706c0c234f700c57ae1bae4a6b323e41c0d; https://arxiv.org/abs/2603.06507,reports-results,simplerenv-result-unattributed,not reported,Reports Google-Fractal task rates; no clean VM suite average.,,,,,,,,,,Subagent verified Google-Fractal task-rate results and left suite cell blank.,high,weight-but-not-for-number,,"Tracked row is the paper's joint video-action SIMPLER/Google-Fractal task-rate result, where the authors train video-action variants on RT-1 episodes and evaluate checkpoints in SIMPLER. The official GitHub and Hugging Face release only inference code and selfflow_imagenet256.pt for ImageNet 256 image generation/FID evaluation. I found no public Self-Flow robot, RT-1, Google-Fractal, or SIMPLER checkpoint tied to the tracked embodied-action result.",high,Subagent verified Google-Fractal task-rate results and left suite cell blank.,high,otherwise,"Reports Google-Fractal task-group rates from a limited SIMPLER setup, without a VM/VA suite protocol or average comparable to standard suites."
86,Sim2real Image Translation Enables Viewpoint-Robust Policies from Fixed-Camera Datasets,2026,arXiv.org,n/a,n/a,n/a,2601.09605,2026-01-14,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.09605,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/b56454e791977146d4c0c0ecf0d70e140276060c; https://arxiv.org/abs/2601.09605; DOI 10.48550/arXiv.2601.09605,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
87,SimNav-XR: an extended reality platform for mobile robot simulation using ROS2 and Unity3D.,2026,Frontiers in Robotics and AI,Frontiers in Robotics and AI,Subagent verified accepted venue metadata.,high,,n/a,n/a,10.3389/frobt.2026.1708161,Semantic Scholar citation graph; OpenAlex citation graph: seed arXiv DOI,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/938aa5cdd979b6173ed17cd232dda43401540a2f; DOI 10.3389/frobt.2026.1708161; https://openalex.org/W7130403861,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
88,SimVLA: A Simple VLA Baseline for Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.18224,2026-02-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.18224,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/3567101d9954c14ff87fe57f3ed025d2b9581d2d; https://arxiv.org/abs/2602.18224; DOI 10.48550/arXiv.2602.18224,reports-results,google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VA=76.1; WidowX / Bridge=95.8,,76.1,95.8,,,75.7,X-VLA,95.8,X-VLA,Independent subagent full-text/result audit verified: Google Robot / Fractal VA=76.1; WidowX / Bridge=95.8,high,weight-but-not-for-number,,"Tracked numbers are Google Robot / Fractal VA=76.1 and WidowX / Bridge=95.8. The paper says SimVLA is trained on Fractal and BridgeData-V2 for SimplerEnv, but the official GitHub README currently documents LIBERO training/evaluation and has no releases. The official project's Hugging Face collection contains only YuankaiLuo/SimVLA-LIBERO, whose model card is explicitly LIBERO Edition and whose metadata lists a single model.safetensors; it is not a Google Robot/WidowX SimplerEnv checkpoint for the tracked numbers.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VA=76.1; WidowX / Bridge=95.8,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VA and WidowX / Bridge success-rate suite numbers.
89,ST-$\pi$: Structured SpatioTemporal VLA for Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2604.17880,2026-04-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/94f229ff9fe8c2f8899fe7fffd15dfe8e097919f; https://arxiv.org/abs/2604.17880,reports-results,google-fractal-vm; google-fractal-va,not reported,Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=67.2,79.3,67.2,,81.6,CogACT,65.3,CogACT,,,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=67.2,high,not-found,,"Tracked numbers are Google Robot / Fractal VM=79.3 and VA=67.2. The arXiv paper links the official chuanhaoma/ST-pi repository, but that repository contains only README/assets, says training and inference code, DROID-ST construction, and the STAR dataset will be released, and has no releases or checkpoint files. Public Hugging Face searches did not find an official ST-pi or Structured SpatioTemporal VLA model artifact, so no public checkpoint is tied to the tracked SimplerEnv numbers.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=67.2,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VM and Google Robot / Fractal VA success-rate suite numbers.
90,StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,2026,preprint/unknown,n/a,n/a,n/a,2604.05014,2026-04-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/cbbc45c76da26b517c73677ab096fa6f7219770d; https://arxiv.org/abs/2604.05014; https://openalex.org/W7151757339; https://openalex.org/W7152933892,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=73.8; WidowX / Bridge=70.2,79.3,73.8,70.2,72.7,pi0.5,68.4,pi0.5,67.8,GR00T-N1.6,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=73.8; WidowX / Bridge=70.2,high,weight-but-not-for-number,,"Tracked numbers are the StarVLA technical report's all-in-one Generalist row: Google Robot / Fractal VM=79.3, Google Robot / Fractal VA=73.8, and WidowX / Bridge=70.2. The report states this is a single model jointly trained across LIBERO, SimplerEnv, RoboTwin 2.0, and RoboCasa-GR1 without benchmark-specific fine-tuning. The official model zoo and Hugging Face org expose related SimplerEnv specialist Bridge+Fractal checkpoints, including model-card metrics such as Qwen3VL-PI_v3 WidowX best average 69.8, but I found no released all-benchmark Generalist checkpoint tied to the tracked 79.3/73.8/70.2 row.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.3; Google Robot / Fractal VA=73.8; WidowX / Bridge=70.2,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate suite numbers."
