ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,CALVIN usage,Evaluation protocol,Demos per task,Reported benchmark numbers,ABC D average task completed,ABCD D average task completed,D D average task completed,ABC D 5/5 chain success rate,ABCD D 5/5 chain success rate,D D 5/5 chain success rate,DD previous SOTA ATC,DD previous SOTA name,ABCD previous SOTA ATC,ABCD previous SOTA name,ABCDD previous SOTA ATC,ABCDD previous SOTA name,ABCD previous SOTA 5/5 chain success rate,ABCDD previous SOTA 5/5 chain success rate,DD previous SOTA 5/5 chain success rate,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
81,Rethinking the Practicality of Vision-language-action Model: A Comprehensive Benchmark and An Improved Baseline,2026,arXiv.org,n/a,n/a,n/a,2602.22663,2026-02-26,arXiv API published date for 2602.22663,10.48550/arXiv.2602.22663,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/e21af5a78efcb3ea516d4c8188e6ca3349990234; Semantic Scholar: e21af5a78efcb3ea516d4c8188e6ca3349990234,reports-results,abc-d,not reported,"Table VI reports LLaVA-VLA (Ours, 500M) on CALVIN ABC->D with success rates 94.8/84.5/71.3/62.5/53.8 and Avg. Len. 3.68. Table I also reports LLaVA-VLA 0.5B Avg. Len. 3.65 and 7B Avg. Len. 3.75; Table VIII action-space ablation reports Discrete 3.68 and Continuous 3.70.",3.68,,,53.8,,,,,3.42,Vidman,,,46.7,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.22663.txt, Table VI is captioned as comparison with manipulation baselines on CALVIN; text below Table VI says the lightweight 0.5B LLaVA-VLA attains best average completed length of 3.68 against other large VLA models.",high,number-associated weight available,https://huggingface.co/chenpyyy/llava-onevision-siglip-so400m-patch14-384-qwen2_0.5b-calvin-rel-obs-reduce5-abc2d_4epoch,Official LLaVA-VLA README reports the CALVIN ABC-D 3.68 result and lists this 0.5B CALVIN ABC-D checkpoint; the Hugging Face file listing includes public safetensors/training artifacts. No large weights were downloaded.,high,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.22663.txt, Table VI is captioned as comparison with manipulation baselines on CALVIN; text below Table VI says the lightweight 0.5B LLaVA-VLA attains best average completed length of 3.68 against other large VLA models.",high,official-ish,Reports CALVIN ABC-D success-at-k rates and Avg. Len. 3.68 in the standard long-horizon format.
82,ReWorld: Multi-Dimensional Reward Modeling for Embodied World Models,2026,arXiv.org,n/a,n/a,n/a,2601.12428,2026-01-18,arXiv API published date for 2601.12428,10.48550/arXiv.2601.12428,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/95c470af67ae77ff8f11181317ff8b4c7e2c8ed0; Semantic Scholar: 95c470af67ae77ff8f11181317ff8b4c7e2c8ed0,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
83,RISE: Self-Improving Robot Policy with Compositional World Model,2026,arXiv.org,n/a,n/a,n/a,2602.11075,2026-02-11,arXiv API published date for 2602.11075,10.48550/arXiv.2602.11075,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/64604f8fe171472d66bb7c7fb29ad42414c5925a; Semantic Scholar: 64604f8fe171472d66bb7c7fb29ad42414c5925a,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
84,RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2603.21341,2026-03-22,OpenAlex/arXiv location metadata for 2603.21341,10.48550/arXiv.2603.21341,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2603.21341; https://arxiv.org/abs/2603.21341; https://www.semanticscholar.org/paper/5f4591d913de4752861b949bbbe4b9c4cdc133a8; OpenAlex: W7140346939; Semantic Scholar: 5f4591d913de4752861b949bbbe4b9c4cdc133a8,reports-results,abc-d,not reported,Table 3 reports RoboAlign 87.6/67.2/47.1/32.8/22.2 with Succ. Len. 2.57.,2.57,,,22.2,,,,,2.32,Language-Only SFT,,,15.3,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.21341.txt, Table 3.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.21341.txt, Table 3.",high,official-ish,"Reports CALVIN ABC-D task-chain success rates with Succ. Len. 2.57, matching the official-style long-horizon metric."
85,RoboLab: A High-Fidelity Simulation Benchmark for Analysis of Task Generalist Policies,2026,preprint/unknown,n/a,n/a,n/a,2604.09860,2026-04-10,arXiv API published date for 2604.09860,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/4a0e21475dfe488e745aac8776bd1b9e2c1c99af; Semantic Scholar: 4a0e21475dfe488e745aac8776bd1b9e2c1c99af,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
86,Robotic Scene Cloning:Advancing Zero-Shot Robotic Scene Adaptation in Manipulation via Visual Prompt Editing,2026,preprint/unknown,n/a,n/a,n/a,2603.09712,2026-03-10,arXiv API published date for 2603.09712,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/9212253cf9a7273df1b52a96f5b7354bd4c1399d; Semantic Scholar: 9212253cf9a7273df1b52a96f5b7354bd4c1399d,reports-results,lh-mtlc,not reported,"CALVIN novel-scene AvgLen values include baseline 1.79, GreenAug joint 2.05, and RSC full-scene 2.57.",,,,,,,,,,,,,,,,Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.09712.txt.,high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.09712.txt.,high,otherwise,"Reports CALVIN AvgLen only in a novel-scene setting with unseen foreground and background, not the standard evaluation environment."
87,"Robust Skills, Brittle Grounding: Diagnosing Restricted Generalization in Vision-Language Action Policies via Multi-Object Picking",2026,arXiv.org,n/a,n/a,n/a,2602.24143,2026-02-27,arXiv API published date for 2602.24143,10.48550/arXiv.2602.24143,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/22544b9de2e0127bf6889e48f7f93140767cf0fc; Semantic Scholar: 22544b9de2e0127bf6889e48f7f93140767cf0fc,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
88,RoCo Challenge at AAAI 2026: Benchmarking Robotic Collaborative Manipulation for Assembly Towards Industrial Automation,2026,preprint/unknown,n/a,n/a,n/a,2603.15469,2026-03-16,arXiv API published date for 2603.15469,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/3bafaffacbcfa174cef07a83c84f135b16e70d0e; Semantic Scholar: 3bafaffacbcfa174cef07a83c84f135b16e70d0e,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
89,SAGE: Scalable Agentic 3D Scene Generation for Embodied AI,2026,arXiv.org,n/a,n/a,n/a,2602.10116,2026-02-10,arXiv API published date for 2602.10116,10.48550/arXiv.2602.10116,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/19fe0361d5000ab2c24461a2845b7ff6e918c809; Semantic Scholar: 19fe0361d5000ab2c24461a2845b7ff6e918c809,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
90,SaPaVe: Towards Active Perception and Manipulation in Vision-Language-Action Models for Robotics,2026,preprint/unknown,n/a,n/a,n/a,2603.12193,2026-03-12,arXiv API published date for 2603.12193,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/fb4a51018a007c94fa4295756527da871b5cd84f; Semantic Scholar: fb4a51018a007c94fa4295756527da871b5cd84f,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
91,SG-VLA: Learning Spatially-Grounded Vision-Language-Action Models for Mobile Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.22760,2026-03-24,arXiv API published date for 2603.22760,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/b4b82368d7a1bcd3bb2e9543c31738a84e8a9dec; Semantic Scholar: b4b82368d7a1bcd3bb2e9543c31738a84e8a9dec,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
92,SpecRLBench: A Benchmark for Generalization in Specification-Guided Reinforcement Learning,2026,preprint/unknown,n/a,n/a,n/a,2604.24729,2026-04-27,arXiv API published date for 2604.24729,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/dc01cf1d45597eec258b5fc9df68f78789ecf8ff; Semantic Scholar: dc01cf1d45597eec258b5fc9df68f78789ecf8ff,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
93,StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,2026,preprint/unknown,n/a,n/a,n/a,2604.05014,2026-04-06,arXiv API published date for 2604.05014,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/cbbc45c76da26b517c73677ab096fa6f7219770d; Semantic Scholar: cbbc45c76da26b517c73677ab096fa6f7219770d,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
94,StarVLA-$\alpha$: Reducing Complexity in Vision-Language-Action Systems,2026,preprint/unknown,n/a,n/a,n/a,2604.11757,2026-04-13,arXiv API published date for 2604.11757,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/13790ee8d1cddc5102b22dcf78afeb01533f82c3; Semantic Scholar: 13790ee8d1cddc5102b22dcf78afeb01533f82c3,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
95,StemVLA:An Open-Source Vision-Language-Action Model with Future 3D Spatial Geometry Knowledge and 4D Historical Representation,2026,ArXiv.org,n/a,n/a,n/a,2602.23721,2026-02-27,OpenAlex/arXiv location metadata for 2602.23721,10.48550/arxiv.2602.23721,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN term/full-text metadata match; CALVIN term/metadata match,term-only,http://arxiv.org/abs/2602.23721; https://arxiv.org/abs/2602.23721; https://openalex.org/W7133222765; OpenAlex: W7133222765; OpenAlex: W7133267824,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; no countable CALVIN citation confirmed from harvested evidence.,n/a,,
96,S-VAM: Shortcut Video-Action Model by Self-Distilling Geometric and Semantic Foresight,2026,preprint/unknown,n/a,n/a,n/a,2603.16195,2026-03-17,arXiv API published date for 2603.16195,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/2f13337fb3cc1df8d920e7919162f92d545fb976; Semantic Scholar: 2f13337fb3cc1df8d920e7919162f92d545fb976,reports-results,abc-d,not reported,Table 1 reports S-VAM 95.8/90.7/83.7/77.0/68.9 with Avg. Len. 4.16.,4.16,,,68.9,,,,,4.08,HiF-VLA,,,69.4,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.16195.txt, Table 1.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.16195.txt, Table 1.",high,official-ish,Reports CALVIN ABC-D five-step success rates and Avg. Len. 4.16 in the standard long-horizon format.
97,Task-Aware Scanning Parameter Configuration for Robotic Inspection Using Vision Language Embeddings and Hyperdimensional Computing,2026,preprint/unknown,n/a,n/a,n/a,2605.03909,2026-05-05,arXiv API published date for 2605.03909,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/86fe5eb32c1f0f2ce3bfb2da2e8bc8d6b3e48987; Semantic Scholar: 86fe5eb32c1f0f2ce3bfb2da2e8bc8d6b3e48987,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
98,TempoFit: Plug-and-Play Layer-Wise Temporal KV Memory for Long-Horizon Vision-Language-Action Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.07647,2026-03-08,OpenAlex/arXiv location metadata for 2603.07647,10.48550/arXiv.2603.07647,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2603.07647; https://arxiv.org/abs/2603.07647; https://www.semanticscholar.org/paper/12315b5e7d40edfdd4821f8e987d902964de132f; https://www.wizwand.com/paper/69afa58a2d603e6de3e43a9c; https://arxiv.org/abs/2603.07647; OpenAlex: W7134861193; Semantic Scholar: 12315b5e7d40edfdd4821f8e987d902964de132f; Wizwand paper: 69afa58a2d603e6de3e43a9c,reports-results,abc-d; d-d,not reported,ABC D average task completed=3.87; D D average task completed=3.84,3.87,,3.84,62.0,,62.3,3.78,QwenGR00T,3.83,pi0.5,,,61.4,,59.8,https://arxiv.org/html/2603.07647 Table II reports TempoFit QwenGR00T Avg.Len. 3.84 for D-D and TempoFit pi0.5 Avg.Len. 3.87 for ABC-D.,high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,https://arxiv.org/html/2603.07647 Table II reports TempoFit QwenGR00T Avg.Len. 3.84 for D-D and TempoFit pi0.5 Avg.Len. 3.87 for ABC-D.,high,official-ish,Reports CALVIN ABC-D and D-D Avg.Len. values using standard official-style long-horizon splits.
99,Theory of Space: Can Foundation Models Construct Spatial Beliefs through Active Exploration?,2026,arXiv.org,n/a,n/a,n/a,2602.07055,2026-02-04,arXiv API published date for 2602.07055,10.48550/arXiv.2602.07055,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/349a6bbf00dcf13be0904a8253afd13dc36e8895; Semantic Scholar: 349a6bbf00dcf13be0904a8253afd13dc36e8895,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
100,Think Proprioceptively: Embodied Visual Reasoning for VLA Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.06575,2026-02-06,arXiv API published date for 2602.06575,10.48550/arxiv.2602.06575,OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2602.06575; https://arxiv.org/abs/2602.06575; https://openalex.org/W7128355849; https://www.semanticscholar.org/paper/64a24beebd510b6c9b822fe7095de3f020c177e2; https://www.wizwand.com/paper/698969ecc97a0b3e3b5dc3ff; https://arxiv.org/abs/2602.06575; OpenAlex: W7128355849; OpenAlex: W7128408450; Semantic Scholar: 64a24beebd510b6c9b822fe7095de3f020c177e2; Wizwand paper: 698969ecc97a0b3e3b5dc3ff,reports-results,abc-d; abcd-d; d-d,not reported,ABC D average task completed=4.55; ABCD D average task completed=4.74; D D average task completed=4.23,4.55,4.74,4.23,82.1,88.5,72.7,4.35,FLOWER (dagger),4.53,FLOWER (dagger),4.67,FLOWER (dagger),77.8,88.3,74.9,https://arxiv.org/html/2602.06575 Table 2 reports ThinkProprio ABC -> D Avg.Len. 4.55; Appendix Tables 11 and 12 report ABCD -> D 4.74 and D -> D 4.23.,high,coming-soon-no-download-link,,Official ThinkProprio project page shows CALVIN ABC-D/ABCD-D results but its Code/Checkpoints controls are coming-soon placeholders with no real checkpoint download link.,high,https://arxiv.org/html/2602.06575 Table 2 reports ThinkProprio ABC -> D Avg.Len. 4.55; Appendix Tables 11 and 12 report ABCD -> D 4.74 and D -> D 4.23.,high,official-ish,"Reports CALVIN ABC-D, ABCD-D, and D-D average-length values using standard official-style split evaluations."
101,Towards Generalizable Robotic Manipulation in Dynamic Environments,2026,preprint/unknown,n/a,n/a,n/a,2603.15620,2026-03-16,arXiv API published date for 2603.15620,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/7c0b2b822d1da1f48f64314432f295193ae76543; Semantic Scholar: 7c0b2b822d1da1f48f64314432f295193ae76543,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
102,Toward Visually Realistic Simulation: A Benchmark for Evaluating Robot Manipulation in Simulation,2026,preprint/unknown,n/a,n/a,n/a,2605.06311,2026-05-07,arXiv API published date for 2605.06311,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2; Semantic Scholar: c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
103,Training robots with natural and lightweight human feedback,2026,The AI Magazine,n/a,n/a,n/a,,n/a,n/a,10.1002/aaai.70037,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/92e9296c8fa02baed22938572c82dbc3cf004e57; Semantic Scholar: 92e9296c8fa02baed22938572c82dbc3cf004e57,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
104,UAOR: Uncertainty-aware Observation Reinjection for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.18020,2026-02-20,arXiv API published date for 2602.18020,10.48550/arXiv.2602.18020,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/672f5a4416f43a087d380a7ac2a2f002a003ba6c; Semantic Scholar: 672f5a4416f43a087d380a7ac2a2f002a003ba6c,reports-results,abc-d,not reported,Table 3 reports w/ UaOR 95.5/84.6/72.3/60.7/49.1 with Avg. Len. 3.67.,3.67,,,49.1,,,,,3.55,LLaVA-VLA,,,48.2,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2602.18020.txt, Table 3.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2602.18020.txt, Table 3.",high,official-ish,"Reports CALVIN ABC-D long-horizon average length/ATC in Table 3, which matches the standard comparable task-chain protocol."
105,Uncovering Linguistic Fragility in Vision-Language-Action Models via Diversity-Aware Red Teaming,2026,preprint/unknown,n/a,n/a,n/a,2604.05595,2026-04-07,arXiv API published date for 2604.05595,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/c76df655a1ead59b9496c7e4a38722fd62cedb7a; Semantic Scholar: c76df655a1ead59b9496c7e4a38722fd62cedb7a,reports-results,lh-mtlc,not reported,"Figure 2(a) and the surrounding text report nonstandard CALVIN red-teaming metrics on 3D-Diffuser: clean instructions have attack performance approximately 8% (about 92% success), GRPO and ERT are in the approximately 45% attack-performance range, and DAERT reaches approximately 60% attack performance. The setup uses 10 variants per task across 27 tasks, 270 episodes, averaged over three seeds.",,,,,,,,,,,,,,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2604.05595.txt, Section 5.5 describes transfer to CALVIN and defines attack performance as 1 - task_success_rate in Figure 2.",medium,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2604.05595.txt, Section 5.5 describes transfer to CALVIN and defines attack performance as 1 - task_success_rate in Figure 2.",medium,otherwise,Reports custom CALVIN red-teaming attack performance over instruction variants rather than the official task-chain ATC or success metric.
106,UniLACT: Depth-Aware RGB Latent Action Learning for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.20231,2026-02-23,arXiv API published date for 2602.20231,10.48550/arXiv.2602.20231,Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/5835f5ce0ccfe9610566a0d308674388c7c7f976; https://www.wizwand.com/paper/699e82066017c4460fface9b; https://arxiv.org/abs/2602.20231; Semantic Scholar: 5835f5ce0ccfe9610566a0d308674388c7c7f976; Wizwand paper: 699e82066017c4460fface9b,reports-results,abc-d,not reported,ABC D average task completed=3.1,3.1,,,40.1,,,,,3.06,GR-1,,,40.1,,,ABC D: UNILACT Average Successful Length=3.1 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UNILACT Average Successful Length=2.86 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d),medium,number-associated weight available,https://huggingface.co/mgovind7/UniLACT,Official UniLACT Hugging Face repository is tagged with arXiv 2602.20231 and lists CALVIN-specific `unilact_finetuned_on_calvin/pytorch_model.bin`. No large weights were downloaded.,high,ABC D: UNILACT Average Successful Length=3.1 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UNILACT Average Successful Length=2.86 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d),medium,official-ish,"Reports CALVIN ABC-D average task completion, an official-style long-horizon task-chain metric."
107,"UniVTAC: A Unified Simulation Platform for Visuo-Tactile Manipulation Data Generation, Learning, and Benchmarking",2026,arXiv.org,n/a,n/a,n/a,2602.10093,2026-02-10,arXiv API published date for 2602.10093,10.48550/arXiv.2602.10093,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/ee6f6ab522882255a2c18ba08f0cfe082f7d346e; Semantic Scholar: ee6f6ab522882255a2c18ba08f0cfe082f7d346e,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
108,Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2604.18000,2026-04-20,arXiv API published date for 2604.18000,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/69316511ece6f00ee95461cb658448303db67de0; Semantic Scholar: 69316511ece6f00ee95461cb658448303db67de0,reports-results,abc-d,not reported,"Table 4 reports CALVIN (ABC->D) Avg. Len. values for pre-training recipe ablations: No Pre-training 3.669, VLA (OXE Only) 3.860, and VLA + VLM 4.086. The table also lists reference baselines GR00T-N1.6 4.244, pi0.5 4.126, and Being-H0.5 4.138.",4.086,,,71.1,,,,,4.244,GR00T-N1.6,,,71.7,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2604.18000.txt, Table 4 is captioned as OOD evaluation and explicitly labels the CALVIN split as ABC->D; Appendix 8.5 states the standard ABC->D split is used.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2604.18000.txt, Table 4 is captioned as OOD evaluation and explicitly labels the CALVIN split as ABC->D; Appendix 8.5 states the standard ABC->D split is used.",high,official-ish,Reports CALVIN ABC-D average length using the standard split for out-of-distribution long-horizon evaluation.
