ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
112,Sparse Autoencoders Reveal Interpretable and Steerable Features in VLA Models,2026,preprint/unknown,n/a,n/a,n/a,2603.19183,,2026-03-19,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/2e5d85d884573733c4c261c4be6c37eb3931d988,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa is mentioned in the introduction as an example benchmark where VLA models make empirical progress and is cited in references; the analyses use LIBERO and DROID activations, not RoboCasa results.",high,,
113,SparTa: Sparse Graphical Task Models from a Handful of Demonstrations,2026,arXiv.org,n/a,arXiv abstract comments say under review; no accepted venue or journal reference.,n/a,2602.16911,,2026-02-18,"arXiv abstract https://arxiv.org/abs/2602.16911 shows Submitted on 18 Feb 2026 and v1 submission history Wed, 18 Feb 2026.",10.48550/arXiv.2602.16911,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/93a45699daf50ef92ed9678d2b023f178265df9c,reports-results,rss24,up to 8 demonstrations,"RoboCasa/SparTa reported numbers: evaluation uses 950 demonstrations across 27 tasks from HANDSOME + RoboCasa; segmentation/event generation average success: baseline [12] 65%, SparTa 85%, with about 20% over-segmentation; RoboCasa magic-action inference average success 57%, with pick-and-place tasks best.",57.0,,,,,,,,,Local text /tmp/robocasa_protocol_audit/txt/113_https_arxiv.org_pdf_2602.16911.txt lines 383-394 describe Fig. 4/Fig. 5 metrics; lines 397-421 state 950 demonstrations across 27 tasks and baseline 65% vs SparTa 85%; lines 430-434 state RoboCasa magic-action average success 57%.,medium,coming-soon-no-download-link,,"Official project page has a Code section stating that the code will be released upon acceptance.; The same project page says the work is under review, 2026, and provides no repository, fitted task-model, or checkpoint download.; Hugging Face model searches for the title, arXiv ID 2602.16911, and SparTa/RoboCasa returned no public model IDs. Notes: The RoboCasa result uses fitted graphical task models and magic-action inference; I found no public fitted models or code artifact tied to the 57.0 result.",high,"The evaluation uses trajectory observations from RoboCasa, yielding 950 demonstrations across 27 tasks; figures report segmentation and magic-action success on RoboCasa, and the text evaluates inference with training sets of up to 8 demonstrations.",high,otherwise,"Uses RoboCasa trajectory observations for task-model fitting and magic-action inference, not standard RoboCasa task success-rate evaluation."
114,StarVLA-$\alpha$: Reducing Complexity in Vision-Language-Action Systems,2026,ArXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web/project search found arXiv and StarVLA project/GitHub pages but no accepted conference or journal record.,n/a,2604.11757,0,2026-04-13,arXiv API for 2604.11757 returned entry 2604.11757v1 with published timestamp 2026-04-13; arXiv abs page/search also shows Date Mon Apr 13 17:30:01 2026.,10.48550/arxiv.2604.11757,OpenAlex term search: RoboCasa; manual full-text audit; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523; RoboCasa arXiv 2406.02523,indexed-citation,"https://openalex.org/W7154270722; OpenAlex: W7154270722, W7154540229; https://www.semanticscholar.org/paper/13790ee8d1cddc5102b22dcf78afeb01533f82c3",reports-results,gr1,1000 demonstrations per task,"RoboCasa-GR1 avg success (%): StarVLA-alpha 53.8; StarVLA-alpha-FAST 45.0; StarVLA-alpha-GR00T 52.8; StarVLA-alpha-pi 48.9. Data-scale ablation: 24x10/24x100/24x1000 demos -> StarVLA-alpha 9.8/39.4/53.8; +OXE 1.2/17.7/27.8; +InternData-A1 2.8/27.6/35.4; +RoboTwin-Rand 2.2/27.3/33.3. Generalist setting RoboCasa-GR1 avg: StarVLA-alpha 57.3 vs specialist StarVLA-alpha 53.8, StarVLA-alpha-GR00T 52.8, pi0.5 37.0, GR00T-N1.6 47.6.",,,53.8,,,,,47.6,GR00T-N1.6,Local text /tmp/robocasa_protocol_audit/txt/115_https_arxiv.org_pdf_2604.11757.txt: Table 2 action-head comparison lines 385-392; Table 3 pretraining/data-scale comparison lines 432-439; Table 5 generalist vs specialist lines 553-564.,high,weight-but-not-for-number,,"StarVLA-alpha paper reports RoboCasa-GR1 53.8 for StarVLA-alpha Specialist and 57.3 for StarVLA-alpha Generalist.; Paper default setup initializes from public Qwen3-VL-4B, while action heads are randomly initialized and all models are trained; the public base model did not directly produce the reported RoboCasa number.; Official StarVLA RoboCasa docs provide checkpoints for Qwen3-VL-OFT-Robocasa and Qwen3-VL-GR00T-Robocasa-gr1 tied to 48.8 and 47.8, not the StarVLA-alpha 53.8 or 57.3 results.; Hugging Face StarVLA author listing and API searches for StarVLA-alpha/alpha returned no alpha or generalist RoboCasa checkpoint. Notes: The available StarVLA RoboCasa checkpoints are related family checkpoints, not the StarVLA-alpha Specialist/Generalist weights for the tracked 53.8 number.",medium,"The paper reports RoboCasa-GR1 benchmark results: Table 2 has StarVLA-alpha at 53.8% and StarVLA-alpha-GR00T at 52.8%, and the appendix states RoboCasa-GR1 provides 1000 demonstrations per task. Merged duplicate row 115: The paper reports RoboCasa-GR1 benchmark results: StarVLA-alpha achieves 53.8% in specialist setting and 57.3% in generalist setting; the benchmark description states 1000 demonstrations per task.",high,official-ish,"Reports RoboCasa-GR1 average success over the 24-task tabletop benchmark, including a 53.8% StarVLA-alpha result."
116,StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,2026,ArXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; GitHub/project page describes it as a technical report and search found no proceedings/publisher venue.,n/a,2604.05014,0,2026-04-06,arXiv API for 2604.05014 returned entry 2604.05014v1 with published timestamp 2026-04-06; arXiv abs page/search shows Date Mon Apr 6 17:59:21 2026.,10.48550/arxiv.2604.05014,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7151757339; OpenAlex: W7151757339, W7152933892",reports-results,gr1,"approximately 1,000 demonstrations per task","RoboCasa-GR1 single-benchmark avg success (%): StarVLA-OFT 48.8; StarVLA-GR00T 47.8; StarVLA-pi 43.9; StarVLA-FAST 39.0; GR00T-N1.6 47.6; pi0.5 37.0. Per-task table average row: GR00T-N1.6 47.6, StarVLA-GR00T 47.8, StarVLA-pi 43.9, StarVLA-OFT 48.8, StarVLA-FAST 39.0. Generalist table RoboCasa-GR1 avg: StarVLA 57.3 vs specialist StarVLA-OFT 53.8, StarVLA-GR00T 52.8, StarVLA-pi 48.9, GR00T-N1.6 47.6, pi0.5 37.0.",,,48.8,,,,,47.6,GR00T-N1.6,Local text /tmp/robocasa_protocol_audit/txt/116_https_arxiv.org_pdf_2604.05014.txt: Sec. 5.3 lines 741-750; Table 5 lines 790-794; Table 6 average row lines 822-849; Table 9 generalist/specialist lines 972-983 and discussion lines 1024-1027.,high,number-associated weight available,https://huggingface.co/StarVLA/Qwen3-VL-OFT-Robocasa/blob/main/checkpoints/steps_90000_pytorch_model.pt,"Official StarVLA RoboCasa docs report the 24-task average row with StarVLA-OFT-Qwen3 at 48.8, matching this row's tracked GR1 success rate.; The same docs instruct evaluation with your_ckpt=StarVLA/Qwen3-VL-OFT-Robocasa/checkpoints/steps_90000_pytorch_model.pt.; Hugging Face model metadata for StarVLA/Qwen3-VL-OFT-Robocasa lists checkpoints/steps_90000_pytorch_model.pt plus config and dataset statistics files. Notes: This is number-associated for the tracked single-benchmark StarVLA-OFT 48.8 result. I checked the file listing only and did not download the checkpoint.",high,"Section 5.3 reports official RoboCasa-GR1 evaluation over 24 tasks and Table 5 gives average success rates such as GR00T-N1.6 47.6 and StarVLA-OFT 48.8; the benchmark description says approximately 1,000 demonstrations per task.",high,official-ish,Reports official RoboCasa-GR1/Tabletop success rates over all 24 tasks with the standard evaluation workflow.
117,ThinkJEPA: Empowering Latent World Models with Large Vision-Language Reasoning Model,2026,arXiv (Cornell University),n/a,n/a,n/a,2603.22281,,2026-03-23,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7140346848; OpenAlex: W7140346848,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in a reference entry; no RoboCasa data use or result is reported.,high,,
118,TIDAL: Temporally Interleaved Diffusion and Action Loop for High-Frequency VLA Control,2026,arXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/indexing pages only and no accepted conference or journal record.,n/a,2601.14945,,2026-01-21,arXiv API for 2601.14945 returned entry 2601.14945v1 with published timestamp 2026-01-21; arXiv abs page/search shows the same paper as arXiv 2601.14945.,10.48550/arXiv.2601.14945,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7125459974; OpenAlex: W7125459974,reports-results,gr1,not reported,"RoboCasa-GR1/static and dynamic success rates: Baseline 0.5925 static official, 0.31 dynamic easy, 0.16 dynamic hard; TIDAL 0.5094 static official, 0.61 dynamic easy, 0.36 dynamic hard. Dynamic-easy ablation: Baseline 0.31, TIDAL w/o Motion 0.33, Base+Motion 0.44, TIDAL Full 0.61. Hyperparameter sweeps report best 78.91% for alpha=5.0 and 76.95% for loss weight w=2.0 on the dynamic setting.",,,50.94,,,,,59.25,Open-Loop Baseline (GR00T-N1.5-3B),Local text /tmp/robocasa_protocol_audit/txt/118_https_arxiv.org_pdf_2601.14945.txt: Table I lines 302-307 and interpretation lines 331-338; Table II lines 371-380; Table III lines 383-393.,high,not-found,,"The arXiv metadata page for 2601.14945 provides no project page, code repository, model, or checkpoint link.; Hugging Face API searches for the title and arXiv ID returned no model IDs.; GitHub repository searches for the exact title and TIDAL VLA RoboCasa returned no apparent official repository or checkpoint artifact. Notes: The method may build on public diffusion/VLA bases, but I found no public TIDAL policy weights for the tracked RoboCasa-GR1 static/dynamic results.",medium,"The paper uses 8 tasks from the official RoboCasa-GR1 benchmark and Table I reports success rates: Baseline 0.5925 static, 0.31 dynamic easy, 0.16 dynamic hard; TIDAL 0.5094, 0.61, 0.36.",high,otherwise,"Reports static results on only eight selected RoboCasa-GR1 tasks plus custom dynamic interception tasks, not the standard 24-task GR1/Tabletop protocol."
119,Toward Visually Realistic Simulation: A Benchmark for Evaluating Robot Manipulation in Simulation,2026,preprint/unknown,n/a,n/a,n/a,2605.06311,,2026-05-07,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCASA appears in a comparison table of simulation benchmarks/datasets with task and scene counts and in references; the VISER evaluation does not use RoboCasa results.,high,,
120,Towards Generalizable Robotic Manipulation in Dynamic Environments,2026,arXiv (Cornell University),n/a,n/a,n/a,2603.15620,,2026-03-16,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7139145192; OpenAlex: W7139145192,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is mentioned as a benchmark for generative task scaling in related work and cited in the bibliography; the paper's dynamic-environment work does not report RoboCasa results.,high,,
121,TwinBrainVLA: Unleashing the Potential of Generalist VLMs for Embodied Tasks via Asymmetric Mixture-of-Transformers,2026,arXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/preprint mirrors only and no accepted conference or journal record.,n/a,2601.14133,,2026-01-20,"arXiv API for 2601.14133 returned entry 2601.14133v2 with published timestamp 2026-01-20 and updated 2026-01-30, so first version date is 2026-01-20.",10.48550/arXiv.2601.14133,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7125268813; OpenAlex: W7125268813, W7125352647",reports-results,gr1,not reported,"RoboCasa GR1 Tabletop avg success (%): TwinBrainVLA+Qwen3VL 54.6; TwinBrainVLA+Qwen2.5VL 53.5; QwenOFT+Qwen3VL 48.8; Isaac-GR00T N1.6 47.6; QwenGR00T+Qwen3VL 47.8; QwenPI+Qwen3VL 43.9; QwenFAST+Qwen3VL 39.0. Table 8 repeats averages: Isaac-GR00T N1.6 47.6, QwenGR00T 47.8, QwenPI 43.9, TwinBrainVLA+Qwen2.5VL 53.5, TwinBrainVLA+Qwen3VL 54.6.",,,54.6,,,,,48.8,QwenOFT+Qwen3VL,Local text /tmp/robocasa_protocol_audit/txt/121_https_arxiv.org_pdf_2601.14133.txt: Sec. 5.2 lines 437-451; Table 2 lines 454-467; Appendix Table 8 lines 1068-1099.,high,not-found,,"Official GitHub repository contains README.md and assets only, with no training/evaluation code, checkpoint files, packages, or releases.; Hugging Face paper page reports Models citing this paper 0, Datasets citing this paper 0, and Spaces citing this paper 0.; Hugging Face API searches for TwinBrainVLA and arXiv ID 2601.14133 returned no model IDs. Notes: The repository documents the architecture and public base dependencies, but I found no public TwinBrainVLA weights tied to the tracked 54.6 RoboCasa result.",high,"Section 5.2 evaluates on the RoboCasa GR1 Tabletop Benchmark; Table 2 reports Average success rates including QwenGR00T 47.8, QwenPI 43.9, TwinBrainVLA 53.5 and 54.6.",high,official-ish,Reports RoboCasa-GR1 Tabletop average success rates across the 24-task benchmark with 50 trials per task.
122,Unified 4D World Action Modeling from Video Priors with Asynchronous Denoising,2026,arXiv (Cornell University),n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/paper-index pages and no accepted conference or journal record.,n/a,2604.26694,,2026-04-29,"arXiv API for 2604.26694 returned entry 2604.26694v2 with published timestamp 2026-04-29 and updated 2026-05-07, so first version date is 2026-04-29.",10.48550/arxiv.2604.26694,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7159122315; OpenAlex: W7159122315, W7159734575",reports-results,rss24,not reported,"RoboCasa 24-task avg success rate (%): X-WAM 79.2; Cosmos Policy 67.1; GR00T-N1.5 64.1; pi0 62.5; DreamZero 62.4; UWM 60.8. RoboCasa 4D reconstruction (X-WAM): PSNR 23.46, SSIM 0.8942, LPIPS 0.0513, AbsRel 0.0349, delta1 0.9738, CD 0.0049. Ablation success rates: no depth 63.0; sequence concatenation 68.7; channel concatenation 64.2; interleaved branch/X-WAM 67.8; sync train+sync infer 66.4; decoupled train+sync infer 66.3; decoupled train+async infer 67.2; ANS train+async infer 67.8.",79.2,,,67.1,Cosmos Policy,,,,,Local text /tmp/robocasa_protocol_audit/txt/122_https_arxiv.org_pdf_2604.26694.txt: policy evaluation lines 424-445; Table 1 lines 449-459; Table 3 lines 463-471; Table 4 ablation lines 510-524 and discussion lines 530-558.,high,coming-soon-no-download-link,,"Official X-WAM project page links Code (Coming Soon) and states X-WAM achieves 79.2 average success on RoboCasa, but provides no model/checkpoint download.; The linked GitHub repository is public but is on the gh_pages branch with static website files only and no releases.; Hugging Face paper page reports Models citing this paper 0, and HF API searches for X-WAM and arXiv ID 2604.26694 returned no model IDs. Notes: A project/code placeholder exists, but no public X-WAM checkpoint corresponding to the tracked 79.2 RoboCasa policy number was found.",high,"The paper reports average success rate on 24 RoboCasa manipulation tasks; Table 1 gives X-WAM 79.2% average SR versus GR00T-N1.5 64.1 and other baselines, with per-task RoboCasa results in Table 6.",high,official-ish,"Reports average success rate across 24 RoboCasa manipulation tasks, matching an RSS24-style benchmark evaluation."
123,UniT: Toward a Unified Physical Language for Human-to-Humanoid Policy Learning and World Modeling,2026,ArXiv.org,n/a,n/a,n/a,2604.19734,,2026-04-21,arXiv API published date,,OpenAlex term search: RoboCasa,term match; manual full-text benchmark-result audit: reports RoboCasa GR1 Tabletop benchmark results,manual-citation,https://openalex.org/W7155452022; OpenAlex: W7155452022; https://arxiv.org/abs/2604.19734; https://arxiv.org/html/2604.19734,reports-results,gr1,100 trajectories per task in the 10% data setting; full-data setting also reported,"RoboCasa GR1 results: VLA-UniT reaches 66.7 full-data overall success rate. With 10% of the training data (100 trajectories per task), VLA-UniT reaches 45.5. The paper also reports EgoDex + RoboCasa-GR1 world-model metrics and human co-training results.",,,66.7,,,,,55.0,FLARE,"arXiv HTML https://arxiv.org/html/2604.19734, Sections 4.1.1, 5.2, and 5.3 report RoboCasa GR1 full-data success 66.7, 100-trajectories-per-task success 45.5, and RoboCasa-GR1 world-model metrics.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this corrected result row.,low,The paper evaluates UniT on RoboCasa GR1 Tabletop simulation and reports policy success rates and world-model metrics using RoboCasa-GR1.,high,official-ish,"Reports RoboCasa GR1/Tabletop policy success rates, including a full-data overall success rate of 66.7."
124,"UniVTAC: A Unified Simulation Platform for Visuo-Tactile Manipulation Data Generation, Learning, and Benchmarking",2026,arXiv.org,n/a,n/a,n/a,2602.10093,,2026-02-10,arXiv API published date,10.48550/arXiv.2602.10093,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7128648341; OpenAlex: W7128648341,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in a reference-list citation; no RoboCasa usage or result is present in the cached text.,high,,
125,Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,2026,arXiv (Cornell University),n/a,n/a,n/a,2604.18000,,2026-04-20,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7155247047; OpenAlex: W7155247047,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa is mentioned as an existing large-scale everyday benchmark and cited in references; the numerical evaluations are on the paper's BeTTER/LIBERO/real-world settings, not RoboCasa.",high,,
126,Validating Generalist Robots with Situation Calculus and STL Falsification,2026,arXiv.org,n/a,"arXiv API has no journal_ref/DOI venue metadata; web search/J-GLOBAL list it as arXiv/preprint, with no accepted conference or journal record found.",n/a,2601.03038,0,2026-01-06,arXiv API for 2601.03038 returned entry 2601.03038v1 with published timestamp 2026-01-06; arXiv abs/search shows Date Tue Jan 6 14:13:33 2026.,10.48550/arXiv.2601.03038,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7119235785; OpenAlex: W7119235785,reports-results,gr1,not reported,"RoboCasa/GR00T validation outcomes: depth-4 generation produced 27 syntax-valid tasks, 25 accomplishable tasks, and 25 full-coverage world-task configurations; validation over 25 configurations found only 3 passed and 22 falsified in a single iteration. Table 3 also reports depth 6: 63 syntax-valid, 25 accomplishable, 25 full coverage; depth 8: 583, 277, 523; depth 10: 4279, 345, 773.",,,,,,,,,,Local text /tmp/robocasa_protocol_audit/txt/126_https_arxiv.org_pdf_2601.03038.txt: evaluation setup connects NVIDIA GR00T-N1.5 with RoboCasa lines 644-653; Table 3 lines 665-671; RQ2 outcomes lines 705-716.,high,number-associated weight available,https://huggingface.co/nvidia/GR00T-N1.5-3B,The paper reports evaluation with the NVIDIA GR00T-N1.5 controller connected to RoboCasa for the tracked validation outcomes: https://arxiv.org/abs/2601.03038.; The official NVIDIA Hugging Face page identifies GR00T-N1.5-3B as the open GR00T N1.5 model; the Hugging Face API lists checkpoint shards model-00001-of-00003.safetensors through model-00003-of-00003.safetensors.; No separate paper-specific RoboCasa fine-tuned checkpoint is introduced for this row; the tracked number is produced by the public general/base controller. Notes: Counted because the general/base GR00T-N1.5 model is the exact controller used for the tracked RoboCasa validation number.,high,"The evaluation connects GR00T-N1.5 to the RoboCasa environment and reports validation outcomes: 25 world-task configurations at depth 4, only 3 passed validation and 22 were falsified in a single iteration.",high,otherwise,"Uses RoboCasa with GR00T for situation-calculus/STL validation outcomes, not standard RoboCasa task success-rate metrics."
127,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,ArXiv.org,n/a,n/a,n/a,2604.23001,,2026-04-24,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7158423909; OpenAlex: W7158423909,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"As a survey, it lists RoboCasa in dataset/benchmark tables and describes it as a simulator-based corpus; there are no experiments using RoboCasa data and no RoboCasa method results.",high,,
128,vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models,2026,arXiv (Cornell University),n/a,n/a,n/a,2603.13966,,2026-03-14,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; term match,indexed-citation,https://openalex.org/W7139143960; OpenAlex: W7139143960,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"The paper includes RoboCasa as a supported benchmark in the vla-eval harness, listing it as 35.6 GB with 7D actions, but the cached text does not report any RoboCasa evaluation metrics.",medium,,
129,VP-VLA: Visual Prompting as an Interface for Vision-Language-Action Models,2026,ArXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/paper-index pages and no accepted conference or journal record.,n/a,2603.22003,0,2026-03-23,"arXiv API for 2603.22003 returned entry 2603.22003v2 with published timestamp 2026-03-23 and updated 2026-04-13, so first version date is 2026-03-23.",10.48550/arxiv.2603.22003,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7140235359; OpenAlex: W7140235359, W7140346716",reports-results,gr1,"in total 24,000 videos","RoboCasa-GR1 Tabletop avg success (%): VP-VLA/Ours+Qwen3VL 53.8; QwenOFT+Qwen3VL 48.8; Isaac-GR00T N1.5 48.2; QwenGR00T+Qwen3VL 47.8; Isaac-GR00T N1.6 47.6; QwenPI+Qwen3VL 43.9; QwenFAST+Qwen3VL 39.0. Category averages for Ours: PnP * to * Close 54.3; Cuttingboard-to-* 60.8; Placemat-to-* 54.5; Tray-to-* 46.0; Plate-to-* 53.5. Ablation Table 6 avg: w/o grounding 49.4, w/all frame grounding 49.5, w/point 47.3, w/direct overlay 50.8, Ours full 53.8.",,,53.8,,,,,48.8,QwenOFT+Qwen3VL,Local text /tmp/robocasa_protocol_audit/txt/129_https_arxiv.org_pdf_2603.22003.txt: Sec. 4.2 lines 380-397; Table 1 lines 429-476; Table 6 lines 708-725.,high,number-associated weight available,https://huggingface.co/Vincent2311/VP-VLA-Robocasa-Tabletop,"The paper/project reports VP-VLA at 53.8% on the RoboCasa-GR1-Tabletop benchmark: https://arxiv.org/abs/2603.22003 and https://visualprompt-vla.github.io/.; The official VP-VLA GitHub README links a Hugging Face model-weights collection and gives RoboCasa tabletop evaluation using a checkpoint path: https://github.com/JIA-Lab-research/VP-VLA.; The Hugging Face model card says this repository contains the VP-VLA policy checkpoint trained for RoboCasa tabletop manipulation and should be passed to the RoboCasa tabletop evaluation script; the API lists checkpoints/steps_100000_pytorch_model.pt. Notes: This is a RoboCasa-specific VP-VLA policy checkpoint tied to the tracked RoboCasa-GR1-Tabletop result, not just a base VLM.",high,"The paper evaluates on the RoboCasa-GR1-Tabletop benchmark and reports Table 1 average success rates; VP-VLA reaches 53.8%, outperforming QwenOFT 48.8 and GR00T-N1.6 47.6, using the GR00T-X Humanoid Robot Tabletop subset with 24,000 videos.",high,official-ish,"Reports RoboCasa-GR1 Tabletop average success rates across the 24-task benchmark, including a 53.8% VP-VLA result."
130,World2Act: Latent Action Post-Training via Skill-Compositional World Models,2026,arXiv (Cornell University),n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/paper-index pages and no accepted conference or journal record for this paper.,n/a,2603.10422,,2026-03-11,arXiv API for 2603.10422 returned entry 2603.10422v1 with published timestamp 2026-03-11.,10.48550/arxiv.2603.10422,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7135076397; OpenAlex: W7135076397, W7135156381",reports-results,rss24,Real Demos / Synthetic Demos (per task): 50 / +50 and 350 / +50 for World2Act rows,"RoboCasa main results SR: GR00T-N1.6-ft+World2Act 0.726; GR00T-N1.6-ft+DreamGen 0.705; GR00T-N1.6-ft 0.701; Cosmos Policy+World2Act 0.663; Cosmos Policy 0.657; GR00T-N1.6 0.662; GR00T-N1.5 0.641; pi0 0.625; UWM 0.608; Rethink-VLA 0.547; UVA 0.500. Real/synthetic demos per task in Table 1: Cosmos+World2Act 50/+50; GR00T-N1.6-ft+World2Act 350/+50. Adapter ablation: baseline 0.701, LoRA r16 0.714, LoRA r32 0.721, World2Act residual 0.726. Contrastive ablation: single InfoNCE 0.720, marginal 0.707, global similarity 0.693, World2Act 0.726.",72.6,,,70.5,GR00T-N1.6-ft + DreamGen,,,,,Local text /tmp/robocasa_protocol_audit/txt/130_https_arxiv.org_pdf_2603.10422.txt: evaluation protocol lines 498-515; Table 1 RoboCasa main results lines 530-547; discussion lines 549-558; Table S2 lines 1107-1113; Table S3 lines 1122-1146.,high,coming-soon-no-download-link,,"The paper reports the tracked RoboCasa result as GR00T-N1.6-ft + World2Act at 0.726 success rate and describes post-training GR00T-N1.6/Cosmos Policy: https://arxiv.org/abs/2603.10422.; The official project page reports the RoboCasa result but still shows Dataset (Coming Soon) and Code (Coming Soon), with no checkpoint/model download link: https://wm2act.github.io/.; NVIDIA GR00T-N1.6 base weights are public, but they are not the World2Act post-trained GR00T-N1.6-ft/Cosmos checkpoints that produced the tracked number. Notes: Do not count public base GR00T/Cosmos-family artifacts as number-associated World2Act weights.",high,"Table 1 'RoboCasa main results' reports SR for World2Act variants: Cosmos Policy + World2Act uses 50 real and +50 synthetic demos per task for 0.663 SR, while GR00T-N1.6-ft + World2Act uses 350 real and +50 synthetic for 0.726 SR.",high,official-ish,"Reports RSS24-style RoboCasa success rates for standard RoboCasa main results, including a 72.6% tracked success rate."
131,3D Generative Techniques and Visualization: A Brief Survey,2025,International Journal of Computers Communications & Control,International Journal of Computers Communications & Control,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.15837/ijccc.2025.3.7021,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523,manual-citation,https://openalex.org/W4411864843; OpenAlex: W4411864843,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as an arXiv citation in a survey reference list; there is no RoboCasa experiment or data use.,high,,
