ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,LIBERO usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Spatial,Object,Goal,Long/10,Spatial previous SOTA success rate,Spatial previous SOTA name,Object previous SOTA success rate,Object previous SOTA name,Goal previous SOTA success rate,Goal previous SOTA name,Long/10 previous SOTA success rate,Long/10 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
180,DeepThinkVLA: Enhancing Reasoning Capability of Vision-Language-Action Models,2025,arXiv (Cornell University),n/a,n/a,n/a,2511.15669,2025-10-31,row-level public-source audit,10.48550/arXiv.2511.15669,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,"https://arxiv.org/abs/2511.15669; https://arxiv.org/pdf/2511.15669; https://doi.org/10.48550/arXiv.2511.15669; https://openalex.org/W7106476688; https://www.semanticscholar.org/paper/0a512b2812957d22204b4bea5747461e8163bb7d; audit note: Also reports LIBERO-Plus robustness results, not entered into original-suite columns.",reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports DeepThinkVLA (pi0-FAST) success rates: Object 99.0, Spatial 96.6, Goal 96.4, Long 96.2, Average 97.0, with 50 trials per task. It also reports DeepThinkVLA (Qwen3-VL) Average 94.9.",96.6,99.0,96.4,96.2,96.8,"pi0 (Black et al., 2025)",98.8,"pi0 (Black et al., 2025)",95.8,"pi0 (Black et al., 2025)",92.0,"UniVLA (Bu et al., 2025b)","arXiv PDF https://arxiv.org/pdf/2511.15669, Table 1 and Sec. 4.2.",high,number-associated weight available,https://huggingface.co/yinchenghust/deepthinkvla_libero_cot_rl,The official GitHub Data & Checkpoints section releases the SFT+RL checkpoint `yinchenghust/deepthinkvla_libero_cot_rl` and the evaluation command uses that checkpoint; the same README reports the tracked 97.0 average LIBERO result. Hugging Face API metadata lists the public safetensors/model files for that repo; no weight files were downloaded.,high,"arXiv PDF https://arxiv.org/pdf/2511.15669, benchmark description states LIBERO has Object, Spatial, Goal, and Long suites; Table 1 reports LIBERO success rates.",high,official-ish,"Reports standard success rates on all four original LIBERO suites, while also reporting extra LIBERO-Plus robustness results."
181,Dejavu: Towards Experience Feedback Learning for Embodied Intelligence,2025,arXiv (Cornell University),n/a,n/a,n/a,2510.10181,2025-10-11,row-level public-source audit,10.48550/arxiv.2510.10181,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,"http://arxiv.org/abs/2510.10181; https://arxiv.org/abs/2510.10181; https://arxiv.org/pdf/2510.10181; https://doi.org/10.48550/arxiv.2510.10181; https://openalex.org/W4417100133; https://www.semanticscholar.org/paper/46cb65f10ff7410b4d1195ac22bda6a76f29784b; audit note: Suite fields use the best reported EFN Vol=1000 row, UniVLA backbone.",reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports EFN (Vol=1000) on UniVLA: Spatial 98.2, Object 98.2, Goal 97.6, Long 94.6, Avg 97.2. The same table also reports OpenVLA+EFN Avg 87.0 and GO-1+EFN Avg 96.7. Results are averaged over 50 evaluation episodes per task and 3 random seeds.",98.2,98.2,97.6,94.6,97.5,+R2A on UniVLA,97.9,+R2A on GO-1,96.6,+R2A on UniVLA,92.0,UniVLA,"arXiv PDF https://arxiv.org/pdf/2510.10181, Table 1 and Appendix evaluation protocol; project page https://dejavu2025.github.io/.",high,not-found,,"Checked the official arXiv page, official project page, exact-title search, and Hugging Face search. The project page has Paper and `Code (Coming Soon)` plus demos, but no checkpoint/download/file listing, and I found no EFN/Dejavu LIBERO checkpoint tied to the UniVLA EFN Vol=1000 Table 1 number.",high,"arXiv PDF https://arxiv.org/pdf/2510.10181, Sec. 4.1 says EFN is evaluated on LIBERO with OpenVLA, UniVLA, and GO-1; Table 1 reports suite success rates.",high,official-ish,"Reports success rates on LIBERO-Spatial, Object, Goal, and Long under the normal task-success benchmark format."
182,Deployable lightweight models for mobile robots,2025,DR-NTU (Nanyang Technological University),DR-NTU (Nanyang Technological University),harvested source venue/status metadata,medium,,n/a,n/a,,"OpenAlex term search: ""LIBERO-10""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.",term-only,https://hdl.handle.net/10356/205714; https://openalex.org/W7128126035,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
183,DepthVLA: Enhancing Vision-Language-Action Models with Depth-Aware Spatial Reasoning,2025,ArXiv.org,n/a,n/a,n/a,2510.13375,2025-10-15,row-level public-source audit,10.48550/arxiv.2510.13375,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310; arXiv API term search: all:LIBERO AND all:Spatial","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).; arXiv metadata matched query 'all:LIBERO AND all:Spatial'; manual citation audit required.",indexed-citation,http://arxiv.org/abs/2510.13375; https://arxiv.org/abs/2510.13375; https://arxiv.org/pdf/2510.13375; https://doi.org/10.48550/arXiv.2510.13375; https://doi.org/10.48550/arxiv.2510.13375; https://openalex.org/W4415275817; https://www.semanticscholar.org/paper/eef7bc6a35551889c9fa0a604ff3e64b7432c167,reports-results,spatial; object; goal; long-10,50 (paper states 500 demonstrations per suite across 10 tasks),"Table II reports DepthVLA (Ours): Spatial 96.4%, Object 98.0%, Goal 95.8%, Long 89.2%, Average 94.9%.",96.4,98.0,95.8,89.2,97.5,DreamVLA [15],98.8,pi0 (reported) [3],95.8,pi0 (reported) [3],89.5,DreamVLA [15],"arXiv PDF https://arxiv.org/pdf/2510.13375, Sec. IV-B and Table II.",high,not-found,,"Checked arXiv, author page, exact-title search, and Hugging Face search. The arXiv abstract says code will be made publicly available, and the author page lists only the DepthVLA paper; separate G0/G0Plus releases are not DepthVLA. No DepthVLA GitHub/Hugging Face/ModelScope checkpoint or LIBERO result file listing was found.",high,"arXiv PDF https://arxiv.org/pdf/2510.13375, Sec. IV-B states the model is evaluated on LIBERO-Spatial/Object/Goal/Long and Table II reports success rates.",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long suite success rates using the usual success-rate evaluation."
184,Dexbotic: Open-Source Vision-Language-Action Toolbox,2025,arXiv.org,n/a,n/a,n/a,2510.23511,2025-10-27,arXiv API first-published metadata,10.48550/arXiv.2510.23511,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2510.23511; https://doi.org/10.48550/arXiv.2510.23511; https://www.semanticscholar.org/paper/0b31ea9d35cefcd019c0221fa4570f123c55b10d,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
185,Diffusion models for robotic manipulation: a survey,2025,Frontiers in Robotics and AI,Frontiers in Robotics and AI,"Frontiers article page https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1606247/full lists Front. Robot. AI 12:1606247, doi 10.3389/frobt.2025.1606247, published 09 September 2025.",high,2504.08438,2025-04-11,row-level public-source audit,10.3389/frobt.2025.1606247,"CORE term search: ""LIBERO benchmark"" robot; CORE term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; OpenAlex citation graph: W4379919389; Semantic Scholar citation graph: arXiv 2306.03310","CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; OpenAlex says this work cites LIBERO seed/version W4379919389.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,https://arxiv.org/abs/2504.08438; https://core.ac.uk/download/671647202.pdf; https://core.ac.uk/download/674540804.pdf; https://core.ac.uk/image/671647202/large; https://core.ac.uk/image/674540804/large; https://core.ac.uk/reader/671647202; https://core.ac.uk/reader/674540804; https://core.ac.uk/works/303811045; https://core.ac.uk/works/315106622; https://doaj.org/article/d88b1afab03f4dba9e434b5986dcafc0; https://doi.org/10.3389/frobt.2025.1606247; https://doi.org/10.5445/ir/1000184700; https://openalex.org/W4414219384; https://pmc.ncbi.nlm.nih.gov/articles/PMC12454101/; https://public-pages-files-2025.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1606247/pdf; https://publikationen.bibliothek.kit.edu/1000184700/165594781; https://pubmed.ncbi.nlm.nih.gov/40995149; https://www.ncbi.nlm.nih.gov/pmc/articles/12454101; https://www.semanticscholar.org/paper/03bf2fcfd2fd10b55ed90a7bedbe87c96dcd6995; audit note: Corrected first arXiv date from the arXiv abs page: submitted 11 Apr 2025.,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Frontiers article https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1606247/full and arXiv PDF https://arxiv.org/pdf/2504.08438 list LIBERO as a common benchmark and cite Liu et al. (2023a), but the article is a survey and does not report new LIBERO results.",high,,
186,DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models,2025,ArXiv.org,n/a,n/a,n/a,2512.01715,2025-12-01,row-level public-source audit,10.48550/arxiv.2512.01715,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,"http://arxiv.org/abs/2512.01715; https://arxiv.org/abs/2512.01715; https://arxiv.org/pdf/2512.01715; https://doi.org/10.48550/arXiv.2512.01715; https://doi.org/10.48550/arxiv.2512.01715; https://openalex.org/W4416967312; https://www.semanticscholar.org/paper/b93659f4d19a6a31b2537a0adad5ce716dcdd00f; audit note: RoboCasa 50 demonstrations/task details in the paper are not LIBERO demo counts, so demos_per_task is not reported for LIBERO.",reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports pi0.5-DiG (Ours): LIBERO-Spatial 99.2, LIBERO-Object 99.0, LIBERO-Goal 98.6, LIBERO-Long 96.4, Average 98.3. It also reports GR00T-N1-DiG: 96.0, 98.4, 94.8, 92.1, Average 95.3.",99.2,99.0,98.6,96.4,98.8,pi0.5 [4],98.4,OpenVLA-OFT [55],98.0,pi0.5 [4],94.5,OpenVLA-OFT [55],"arXiv PDF https://arxiv.org/pdf/2512.01715, Sec. 6.1.2 and Table 1; project page https://beingbeyond.github.io/DiG-Flow.",high,not-found,,"Checked arXiv, official BeingBeyond project page, official GitHub, exact-title search, and Hugging Face search. The project has a Code link, but the GitHub README says code is coming soon, has no releases/packages, and exposes no pi0.5-DiG or GR00T-DiG LIBERO checkpoints tied to the tracked Table 1 number.",high,"arXiv PDF https://arxiv.org/pdf/2512.01715, Sec. 6.1.1 describes LIBERO-Spatial/Object/Goal/Long and Sec. 6.1.2 Table 1 reports success rates.",high,official-ish,Reports standard success rates on the original four LIBERO suites using 50 evaluation episodes per task.
187,"Discover, Learn, and Reinforce: Scaling Vision-Language-Action Pretraining with Diverse RL-Generated Trajectories",2025,arXiv.org,n/a,n/a,n/a,2511.19528,2025-11-24,arXiv API first-published metadata,10.48550/arXiv.2511.19528,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2511.19528; https://doi.org/10.48550/arXiv.2511.19528; https://www.semanticscholar.org/paper/579a285ff13387560af88a4be01f58964d441538,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
188,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,2025,arXiv.org,n/a,n/a,n/a,2508.20072,2025-08-27,arXiv API first-published metadata,10.48550/arXiv.2508.20072,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2508.20072; https://doi.org/10.48550/arXiv.2508.20072; https://www.semanticscholar.org/paper/59d62f070c3f4ddfb3974fa1cff9aeed258fa492,reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports Discrete Diffusion VLA success rates: Spatial 97.2, Object 98.6, Goal 97.4, Long 92.0, Avg 96.3.",97.2,98.6,97.4,92.0,96.9,OpenVLA-OFT (Cont-Diffusion),98.8,"pi0 (Black et al., 2024)",96.2,OpenVLA-OFT (Cont-Diffusion),92.0,"OpenVLA-OFT (Discrete) (Kim et al., 2025b)","arXiv PDF https://arxiv.org/pdf/2508.20072.pdf, Table 1.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly classified result row.,low,"arXiv PDF https://arxiv.org/pdf/2508.20072.pdf, Table 1.",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates, with extra OOD perturbation analysis kept separate."
189,Distracted Robot: How Visual Clutter Undermine Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2511.22780,2025-11-27,arXiv API first-published metadata,10.48550/arXiv.2511.22780,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2511.22780; https://doi.org/10.48550/arXiv.2511.22780; https://www.semanticscholar.org/paper/4c5be63817f803fae1da25a9912361a5c4e60981,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
190,Distributional Diffusion Models with Scoring Rules,2025,ArXiv.org,ICML 2025,"PDF header and PMLR page https://proceedings.mlr.press/v267/de-bortoli25b.html list Proceedings of the 42nd International Conference on Machine Learning, PMLR 267, 2025.",high,2502.02483,2025-02-04,row-level public-source audit,10.48550/arxiv.2502.02483,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-90""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-90""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,"http://arxiv.org/abs/2502.02483; https://arxiv.org/abs/2502.02483; https://arxiv.org/pdf/2502.02483; https://doi.org/10.48550/arXiv.2502.02483; https://doi.org/10.48550/arxiv.2502.02483; https://openalex.org/W4407186801; https://www.semanticscholar.org/paper/e7ed177207296eb2859aa18fe041717b67598849; audit note: Exact suite success rates are figure-only or ambiguously captioned in the public PDF text, so suite fields are left blank.",reports-results,spatial; object; goal; long-10,not reported,"Figure 9 plots maximum success rate on Libero10 as a function of diffusion steps and lambda. Figure 19 plots Libero-Goal, Libero-Spatial, and Libero-Object maximum success rates. Appendix I.3 states evaluation uses 50 episodes per task and reports median success over 3 seeds. Appendix Table 7 reports robotics success rates in an m ablation: 0.783, 0.73, 0.817, 0.800, 0.840, 0.797, but that table caption does not label a specific LIBERO suite.",,,,,,,,,,,,,"arXiv PDF https://arxiv.org/pdf/2502.02483, Sec. 6.3, Figure 9, Appendix I.3, Figure 19, and Table 7; PMLR page https://proceedings.mlr.press/v267/de-bortoli25b.html.",medium,not-found,,"Checked arXiv, PMLR, OpenReview/exact-title search, and Hugging Face search. The PMLR page provides PDF/OpenReview links only, and the paper describes training LIBERO diffusion policies and reporting the best checkpoint during training, but I found no public code/checkpoint/model files for the tracked LIBERO10 result.",high,"arXiv PDF https://arxiv.org/pdf/2502.02483, Sec. 6.3 says experiments use four LIBERO suites and Figures 9/19 report LIBERO success-rate plots.",high,official-ish,Reports success-rate results for LIBERO-Long/10 and the other original LIBERO suites following the LIBERO benchmark evaluation setup.
191,Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,2025,IEEE International Conference on Computer Vision,IEEE/CVF International Conference on Computer Vision (ICCV) 2025,"CVF open-access page lists the paper in Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), October 2025, pages 7686-7697; DOI metadata is 10.1109/ICCV51701.2025.00721.",high,2503.19757,2025-03-25,row-level public-source audit,10.1109/ICCV51701.2025.00721,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2503.19757; https://doi.org/10.1109/ICCV51701.2025.00721; https://www.semanticscholar.org/paper/7aa2936c237c86f33ad413eeeabca6b123515c57; audit note: Suite columns use the stronger Dita w/ wrist row; the no-wrist Dita (Ours) row is recorded in reported_benchmark_numbers.,reports-results,spatial; object; goal; long-10,not reported,"Table 2 reports Dita (Ours): Spatial 84.2, Object 96.3, Goal 85.4, Long 63.8, Average 82.4, and Dita w/ wrist: Spatial 97.4, Object 94.8, Goal 93.2, Long 83.6, Average 92.3. Appendix Table 6 reports LIBERO-LONG only: Dita pretrained on OXE 63.8, Dita pretrained on Droid 77.9.",97.4,94.8,93.2,83.6,84.9,OpenVLA [32],92.5,DP* / Diffusion Policy [17],84.6,Octo [72],53.7,OpenVLA [32],"arXiv PDF https://arxiv.org/pdf/2503.19757, Sec. 4.3/Table 2 and Appendix B.2/Table 6; ICCV open-access page https://openaccess.thecvf.com/content/ICCV2025/html/Hou_Dita_Scaling_Diffusion_Transformer_for_Generalist_Vision-Language-Action_Policy_ICCV_2025_paper.html.",high,weight-but-not-for-number,,"Checked the official project/GitHub README, Google Drive checkpoint listings referenced there, exact-title search, and Hugging Face search. The README provides Google Drive checkpoints for pretraining/finetuning starting points and a CALVIN ABC-D checkpoint, but the LIBERO section only gives finetuning commands and reports the LIBERO table; no LIBERO fine-tuned or Dita-wrist result checkpoint is listed.",high,The paper says it fine-tunes and evaluates on LIBERO and reports Spatial/Object/Goal/Long success rates in Table 2. Source: https://arxiv.org/pdf/2503.19757.,high,official-ish,Reports standard four-suite LIBERO success rates for Dita and baselines.
192,DiWA: Diffusion Policy Adaptation with World Models,2025,arXiv.org,n/a,n/a,n/a,2508.03645,2025-08-05,arXiv API first-published metadata,10.48550/arXiv.2508.03645,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2508.03645; https://doi.org/10.48550/arXiv.2508.03645; https://www.semanticscholar.org/paper/350d866c9dcdf8145b5b0123f042008294e9dc6a,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
193,Do What You Say: Steering Vision-Language-Action Models via Runtime Reasoning-Action Alignment Verification,2025,arXiv.org,n/a,n/a,n/a,2510.16281,2025-10-18,arXiv API first-published metadata,10.48550/arXiv.2510.16281,Semantic Scholar citation graph: arXiv 2306.03310; arXiv API term search: all:libero-project,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).; arXiv metadata matched query 'all:libero-project'; manual citation audit required.,indexed-citation,https://arxiv.org/abs/2510.16281; https://doi.org/10.48550/arXiv.2510.16281; https://www.semanticscholar.org/paper/8af4e4833d4f76b202aff10bef0bb37c5175b8eb,reports-results,long-10; other,not reported,"Table II reports LIBERO-10 success rates; SEAL averages 97 with LIBERO-100 training, and Tables VI-VII report OOD and compositional LIBERO variants.",,,,97.0,,,,,,,89.0,pi0-reason (LIBERO-100 training),"arXiv PDF https://arxiv.org/pdf/2510.16281, Table II and Tables VI-VII.",high,unclear,,No result-producing checkpoint was verified in this audit.,medium,"arXiv PDF https://arxiv.org/pdf/2510.16281, Table II and Tables VI-VII.",high,otherwise,"The tracked LIBERO-10 number is from a runtime simulator/verifier steering wrapper, with additional custom OOD and compositional variants."
194,Do You Need Proprioceptive States in Visuomotor Policies?,2025,arXiv.org,n/a,n/a,n/a,2509.18644,2025-09-23,arXiv API first-published metadata,10.48550/arXiv.2509.18644,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2509.18644; https://doi.org/10.48550/arXiv.2509.18644; https://www.semanticscholar.org/paper/70a662c1f144e510aee62c6f8f27818821dfe7ef,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
195,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2025,arXiv.org,n/a,n/a,n/a,2510.25616,2025-10-29,arXiv API first-published metadata,10.48550/arXiv.2510.25616,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2510.25616; https://doi.org/10.48550/arXiv.2510.25616; https://www.semanticscholar.org/paper/5444dd08c9b57e0c4dc9d26464af5d2908aa92b6,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
